Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,171.16,171.91,167.75,169.41,280500,0.0,0
2020-05-14,167.0,171.44,164.63,171.36,319000,0.0,0
2020-05-15,165.82,172.41,165.82,169.69,295300,0.0,0
2020-05-18,175.8,180.74,175.0,179.51,458300,0.0,0
2020-05-19,180.01,180.01,172.59,172.63,358500,0.0,0
2020-05-20,175.01,177.77,173.63,174.23,340300,0.0,0
2020-05-21,176.55,181.7,176.54,180.59,302200,0.0,0
2020-05-22,182.95,183.69,177.34,181.86,430800,0.0,0
2020-05-26,187.56,194.27,187.56,192.45,421400,0.0,0
2020-05-27,195.94,205.01,195.94,204.89,432300,0.0,0
2020-05-28,208.7,209.96,200.03,200.68,345200,1.03,0
2020-05-29,198.11,201.65,196.33,199.89,355100,0.0,0
2020-06-01,199.72,203.75,194.55,195.53,353400,0.0,0
2020-06-02,197.67,197.77,193.59,194.25,382700,0.0,0
2020-06-03,196.44,201.65,194.98,199.67,365400,0.0,0
2020-06-04,199.37,201.63,197.15,198.52,404400,0.0,0
2020-06-05,205.78,206.9,201.54,202.57,339900,0.0,0
2020-06-08,204.63,207.09,204.01,206.02,326000,0.0,0
2020-06-09,203.0,204.88,196.91,197.76,304800,0.0,0
2020-06-10,196.79,200.56,192.86,197.01,477400,0.0,0
2020-06-11,190.53,194.0,180.29,180.8,368600,0.0,0
2020-06-12,186.54,187.01,179.11,182.29,326300,0.0,0
