Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,67.0,67.2,64.06,64.85,4944400,0,0
2020-05-14,63.36,68.21,62.47,68.17,6036700,0,0
2020-05-15,67.28,68.83,66.51,68.54,2331000,0,0
2020-05-18,72.17,74.67,72.08,73.07,6424900,0,0
2020-05-19,73.04,77.08,71.83,75.29,3955000,0,0
2020-05-20,76.86,78.32,75.94,77.72,3522000,0,0
2020-05-21,77.15,78.86,75.83,77.66,4794500,0,0
2020-05-22,78.0,78.79,76.69,78.39,2822700,0,0
2020-05-26,85.13,85.58,81.43,81.69,3879800,0,0
2020-05-27,84.14,84.52,80.76,83.15,5166800,0,0
2020-05-28,83.98,84.54,80.44,80.62,3368600,0,0
2020-05-29,79.54,80.25,78.38,79.31,3923800,0,0
2020-06-01,79.65,82.73,79.36,81.91,2374600,0,0
2020-06-02,83.0,83.65,81.24,83.6,3138800,0,0
2020-06-03,84.49,87.42,83.79,86.11,3624900,0,0
2020-06-04,86.19,87.44,84.36,86.34,3503000,0,0
2020-06-05,90.42,93.72,86.65,87.2,6686200,0,0
2020-06-08,89.86,90.78,88.54,89.7,4554100,0,0
2020-06-09,87.8,87.83,85.25,86.13,3086700,0,0
2020-06-10,85.38,85.92,82.35,82.83,3943100,0,0
2020-06-11,78.0,80.61,76.73,77.59,5266500,0,0
2020-06-12,80.93,81.0,76.16,77.45,4731700,0,0
