Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,51.53,52.36,50.47,51.35,2344200,0,0
2020-05-14,50.48,51.51,49.91,51.41,2127400,0,0
2020-05-15,52.07,52.46,50.98,51.93,2357200,0,0
2020-05-18,52.95,53.99,52.12,52.48,2165500,0,0
2020-05-19,52.24,53.48,52.24,52.89,2120500,0,0
2020-05-20,53.14,54.58,53.12,53.98,2684100,0,0
2020-05-21,53.53,53.93,52.46,52.56,2661300,0,0
2020-05-22,52.41,52.68,51.71,52.33,2012800,0,0
2020-05-26,53.27,53.58,50.93,51.1,2252600,0,0
2020-05-27,51.4,51.43,49.73,51.39,2895400,0,0
2020-05-28,51.68,53.2,51.13,52.32,1909700,0,0
2020-05-29,52.39,53.18,51.29,53.0,3636700,0,0
2020-06-01,52.56,53.8,51.92,53.25,1259700,0,0
2020-06-02,53.06,53.13,52.07,52.67,1471400,0,0
2020-06-03,53.91,54.62,53.36,53.69,4163500,0,0
2020-06-04,53.13,53.76,52.0,52.32,2132500,0,0
2020-06-05,53.09,53.58,52.25,52.41,3527300,0,0
2020-06-08,51.78,53.32,51.64,53.11,1430800,0,0
2020-06-09,53.95,53.95,52.13,52.75,2265600,0,0
2020-06-10,53.04,53.26,51.86,52.01,1535300,0,0
2020-06-11,51.03,51.33,49.82,50.46,2725600,0,0
2020-06-12,51.58,51.77,49.45,50.15,3133300,0,0
