Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,126.2,126.21,120.99,122.07,5786200,0.0,0
2020-05-14,120.27,127.26,117.11,127.05,5226200,0.9,0
2020-05-15,125.37,126.66,123.73,125.41,4660300,0.0,0
2020-05-18,130.5,137.59,129.68,136.04,6405800,0.0,0
2020-05-19,135.25,135.42,131.94,131.95,4427800,0.0,0
2020-05-20,134.55,136.68,134.26,136.03,2949700,0.0,0
2020-05-21,137.53,138.79,136.29,137.69,2374300,0.0,0
2020-05-22,137.47,139.34,136.45,139.18,2958000,0.0,0
2020-05-26,143.77,146.26,143.41,144.94,4370200,0.0,0
2020-05-27,148.36,150.94,146.87,148.59,4291700,0.0,0
2020-05-28,150.0,151.21,144.68,147.56,3481800,0.0,0
2020-05-29,145.72,149.9,144.33,145.85,4135500,0.0,0
2020-06-01,145.49,147.79,144.91,146.18,2071100,0.0,0
2020-06-02,147.79,148.73,146.45,148.35,3625800,0.0,0
2020-06-03,150.24,154.38,150.05,153.35,2992700,0.0,0
2020-06-04,152.01,156.18,151.13,155.91,3768200,0.0,0
2020-06-05,162.91,165.72,160.54,161.37,4524900,0.0,0
2020-06-08,161.57,164.3,161.07,162.92,3573400,0.0,0
2020-06-09,160.36,161.0,157.54,158.1,3679100,0.0,0
2020-06-10,157.72,157.85,153.43,154.12,3309800,0.0,0
2020-06-11,148.66,148.82,143.09,143.44,4184900,0.0,0
2020-06-12,148.21,149.0,141.15,144.51,3612400,0.0,0
