Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,18.12,18.22,17.17,17.63,2243200,0,0
2020-05-14,17.1,18.22,16.53,17.35,2585100,0,0
2020-05-15,17.22,17.86,17.19,17.55,2299100,0,0
2020-05-18,18.85,19.44,18.25,19.26,2606500,0,0
2020-05-19,20.0,20.0,18.73,18.85,3367200,0,0
2020-05-20,19.33,19.71,18.54,18.77,3786000,0,0
2020-05-21,18.88,18.96,17.86,18.65,33181400,0,0
2020-05-22,18.35,18.49,17.77,18.21,2808200,0,0
2020-05-26,19.1,20.09,18.53,19.45,3216400,0,0
2020-05-27,20.1,20.28,19.04,19.62,2729500,0,0
2020-05-28,20.25,21.29,19.66,20.6,4805800,0,0
2020-05-29,20.37,20.59,19.4,20.13,3569700,0,0
2020-06-01,20.02,20.55,19.6,20.27,2262200,0,0
2020-06-02,20.61,22.21,20.58,21.8,2891200,0,0
2020-06-03,22.27,22.81,22.14,22.73,2262500,0,0
2020-06-04,22.9,25.0,22.36,24.99,3566200,0,0
2020-06-05,27.49,28.26,26.61,26.84,3923500,0,0
2020-06-08,28.66,28.94,27.26,28.29,2975900,0,0
2020-06-09,26.41,27.53,25.83,26.44,2506300,0,0
2020-06-10,25.91,26.11,24.31,24.73,2680700,0,0
2020-06-11,22.0,23.36,20.65,20.82,2541600,0,0
2020-06-12,22.48,23.03,21.36,22.46,1910600,0,0
