Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,14.68,14.74,13.77,13.92,12796100,0.0,0
2020-05-14,13.68,14.38,13.26,14.37,14935300,0.0,0
2020-05-15,14.16,14.76,14.05,14.72,13232100,0.0,0
2020-05-18,15.21,16.13,15.17,15.96,18019700,0.0,0
2020-05-19,15.97,17.01,15.96,16.57,19523700,0.0,0
2020-05-20,16.91,17.37,16.87,17.13,16561300,0.0,0
2020-05-21,17.02,17.18,16.73,17.01,8731500,0.0,0
2020-05-22,16.93,16.93,16.56,16.84,8480500,0.0,0
2020-05-26,17.23,17.3,16.87,16.89,9027300,0.0,0
2020-05-27,17.23,17.31,16.63,16.95,15044600,0.0,0
2020-05-28,15.55,15.55,14.8,14.86,50083800,0.0,0
2020-05-29,14.87,15.02,14.72,14.99,29051100,0.0,0
2020-06-01,14.9,15.43,14.81,14.98,19564600,0.0,0
2020-06-02,15.09,15.72,14.86,15.64,28266700,0.0,0
2020-06-03,15.99,16.82,15.89,16.7,19391500,0.0,0
2020-06-04,16.32,16.71,16.16,16.31,20873100,0.0,0
2020-06-05,17.03,17.47,16.96,17.24,19470700,0.0,0
2020-06-08,17.47,18.15,17.44,17.99,18930900,0.0,0
2020-06-09,17.54,17.66,17.23,17.5,15369200,0.176,0
2020-06-10,17.36,17.42,16.8,16.89,24239900,0.0,0
2020-06-11,16.08,16.38,15.55,15.66,22947700,0.0,0
2020-06-12,16.26,16.43,15.89,16.28,13611300,0.0,0
