Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.68,9.76,9.36,9.45,20341400,0,0
2020-05-14,9.13,10.05,9.06,10.04,13458900,0,0
2020-05-15,9.88,10.11,9.55,10.06,17502600,0,0
2020-05-18,10.63,11.93,10.59,11.78,27957700,0,0
2020-05-19,11.64,12.0,11.36,11.55,10976900,0,0
2020-05-20,11.71,11.77,11.4,11.54,12415700,0,0
2020-05-21,11.39,11.67,11.33,11.43,10680900,0,0
2020-05-22,11.43,11.56,10.94,11.23,8159500,0,0
2020-05-26,12.22,12.22,11.86,12.17,15909000,0,0
2020-05-27,12.57,12.83,12.27,12.52,19369700,0,0
2020-05-28,12.64,12.71,11.88,12.03,13982600,0,0
2020-05-29,11.81,12.15,11.54,11.94,17952700,0,0
2020-06-01,11.86,12.4,11.81,12.25,11424700,0,0
2020-06-02,12.43,12.6,12.23,12.28,12923200,0,0
2020-06-03,12.5,12.9,12.38,12.61,12064100,0,0
2020-06-04,12.57,13.25,12.43,13.06,20934800,0,0
2020-06-05,14.16,14.64,13.86,14.01,27611400,0,0
2020-06-08,14.48,14.95,14.47,14.82,13986900,0,0
2020-06-09,14.24,14.58,13.98,14.45,11883500,0,0
2020-06-10,14.26,14.29,13.09,13.29,19970400,0,0
2020-06-11,12.06,12.65,11.86,12.17,12040800,0,0
2020-06-12,12.82,12.97,12.16,12.64,8148300,0,0
