Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,131.59,132.84,130.0,131.09,803300,0.0,0
2020-05-14,131.05,131.84,128.73,130.26,1151100,0.0,0
2020-05-15,130.13,132.68,129.28,129.61,2602800,0.0,0
2020-05-18,131.13,132.07,128.05,131.49,1789400,0.0,0
2020-05-19,130.74,131.47,128.76,130.14,1170600,0.0,0
2020-05-20,131.04,131.55,129.95,130.45,1137600,0.0,0
2020-05-21,130.2,130.46,127.15,128.03,2597300,0.773,0
2020-05-22,128.46,130.56,127.6,130.26,900000,0.0,0
2020-05-26,131.75,131.87,127.83,128.27,1719600,0.0,0
2020-05-27,128.34,133.26,127.04,133.05,1443900,0.0,0
2020-05-28,134.9,136.18,133.58,135.98,1372700,0.0,0
2020-05-29,135.56,136.94,133.86,135.68,2912000,0.0,0
2020-06-01,135.87,137.4,134.82,136.43,746100,0.0,0
2020-06-02,136.21,137.2,135.26,137.18,2057600,0.0,0
2020-06-03,137.62,137.95,134.18,134.22,981000,0.0,0
2020-06-04,133.82,135.07,132.47,133.43,1133400,0.0,0
2020-06-05,134.05,136.28,133.29,135.44,1304500,0.0,0
2020-06-08,134.66,135.75,133.39,135.67,1987700,0.0,0
2020-06-09,135.4,135.4,132.86,133.34,1276900,0.0,0
2020-06-10,134.03,135.71,132.78,135.32,1352300,0.0,0
2020-06-11,134.52,135.31,129.07,129.09,1189700,0.0,0
2020-06-12,130.73,131.35,127.63,129.11,1085800,0.0,0
