Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,119.95,119.99,114.85,115.73,5882800,0,0
2020-05-14,114.57,117.09,111.81,116.95,5259400,0,0
2020-05-15,115.93,117.39,115.25,116.98,4786300,0,0
2020-05-18,119.88,122.36,119.75,121.56,4207600,0,0
2020-05-19,121.19,122.17,120.14,120.29,3241100,0,0
2020-05-20,120.93,122.47,120.6,121.38,3840700,0,0
2020-05-21,120.99,121.72,118.97,119.12,4000900,0,0
2020-05-22,119.37,119.47,117.59,118.39,4180800,0,0
2020-05-26,121.3,122.62,121.01,121.76,5469300,0,0
2020-05-27,123.94,125.83,123.47,125.54,5727500,0,0
2020-05-28,126.87,126.97,124.22,124.53,3915300,0,0
2020-05-29,123.67,125.13,122.24,124.9,7930500,0,0
2020-06-01,124.64,125.75,124.03,124.89,2871700,0,0
2020-06-02,125.67,126.0,124.66,126.0,2978100,0,0
2020-06-03,127.15,129.6,127.0,129.05,3917700,0,0
2020-06-04,127.78,128.95,127.02,128.89,3864800,0,0
2020-06-05,133.89,134.23,131.75,132.06,5892700,0,0
2020-06-08,132.27,135.88,132.27,135.75,5370500,0,0
2020-06-09,133.52,133.6,131.02,131.87,5393600,0,0
2020-06-10,132.15,132.23,129.8,129.87,4734800,0,0
2020-06-11,126.03,126.1,117.84,118.01,11763600,0,0
2020-06-12,121.25,123.12,119.28,121.91,6218100,0,0
