Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,147.17,148.33,143.82,146.3,573800,0.0,0
2020-05-14,144.42,149.24,141.86,149.03,752900,0.5,0
2020-05-15,148.14,152.89,147.93,148.42,2239500,0.0,0
2020-05-18,152.46,155.63,152.46,154.63,452700,0.0,0
2020-05-19,154.21,155.4,150.93,151.15,445600,0.0,0
2020-05-20,152.93,154.75,152.01,152.37,402200,0.0,0
2020-05-21,151.94,152.51,149.69,151.56,376800,0.0,0
2020-05-22,151.55,151.94,148.82,150.45,383200,0.0,0
2020-05-26,154.2,157.03,153.7,155.09,398900,0.0,0
2020-05-27,157.39,159.32,155.49,159.21,509000,0.0,0
2020-05-28,160.68,160.98,156.99,157.47,657700,0.0,0
2020-05-29,156.93,159.66,155.76,159.37,538100,0.0,0
2020-06-01,159.51,160.46,157.01,158.12,361100,0.0,0
2020-06-02,158.78,159.92,157.65,159.9,475800,0.0,0
2020-06-03,161.45,166.21,161.16,165.86,657700,0.0,0
2020-06-04,164.4,164.4,162.32,163.96,484400,0.0,0
2020-06-05,167.39,167.8,163.75,167.29,469600,0.0,0
2020-06-08,167.16,169.18,165.44,166.86,545800,0.0,0
2020-06-09,165.07,165.91,161.88,162.11,501500,0.0,0
2020-06-10,162.51,163.3,159.72,160.18,416200,0.0,0
2020-06-11,156.15,156.27,151.03,151.12,656400,0.0,0
2020-06-12,155.51,155.51,149.23,152.59,592800,0.0,0
