Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,132.1,133.23,127.33,129.34,1095600,0,0
2020-05-14,127.44,127.69,122.7,126.05,1893500,0,0
2020-05-15,125.04,130.13,124.64,128.22,1114000,0,0
2020-05-18,131.6,134.68,131.56,131.9,1275200,0,0
2020-05-19,130.9,132.12,127.88,128.84,946700,0,0
2020-05-20,130.42,131.97,129.25,130.28,834700,0,0
2020-05-21,129.42,131.76,128.83,128.98,932400,0,0
2020-05-22,128.43,129.71,125.74,129.42,889100,0,0
2020-05-26,132.95,136.68,132.47,133.13,969100,0,0
2020-05-27,134.55,137.17,134.21,136.23,806200,0,0
2020-05-28,138.0,138.0,132.73,134.3,891300,0,0
2020-05-29,133.97,133.97,131.55,133.19,1589600,0,0
2020-06-01,132.36,132.99,130.95,131.02,801400,0,0
2020-06-02,130.94,135.26,130.52,133.93,859400,0,0
2020-06-03,135.77,138.01,135.73,136.81,737000,0,0
2020-06-04,135.96,137.53,134.37,135.76,815100,0,0
2020-06-05,138.5,139.0,137.1,137.86,974200,0,0
2020-06-08,134.41,136.61,133.35,135.57,1031400,0,0
2020-06-09,134.25,135.88,131.91,134.57,1083700,0,0
2020-06-10,134.43,135.09,132.11,133.52,1379700,0,0
2020-06-11,131.39,131.67,125.68,126.25,1321400,0,0
2020-06-12,129.83,130.19,124.53,126.85,720600,0,0
