Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,322.69,335.49,320.23,323.39,1075300,0,0
2020-05-14,323.49,325.43,319.65,322.99,907100,0,0
2020-05-15,323.12,335.8,321.16,335.0,1202000,0,0
2020-05-18,338.57,348.57,338.33,344.14,1120200,0,0
2020-05-19,342.34,345.23,339.67,342.55,1046500,0,0
2020-05-20,344.93,359.5,344.93,357.73,1664100,0,0
2020-05-21,355.57,355.96,344.05,349.42,1038700,0,0
2020-05-22,349.42,354.86,346.11,354.7,710300,0,0
2020-05-26,357.3,361.86,353.72,354.41,1470800,0,0
2020-05-27,354.42,365.0,349.26,363.82,1215600,0,0
2020-05-28,362.35,377.8,360.01,373.01,1480400,0,0
2020-05-29,372.0,373.23,359.31,363.05,1802700,0,0
2020-06-01,361.14,369.59,358.0,365.41,617000,0,0
2020-06-02,364.4,366.07,358.36,366.05,861200,0,0
2020-06-03,366.05,366.4,355.88,358.32,889000,0,0
2020-06-04,355.29,362.95,355.0,358.4,1054800,0,0
2020-06-05,357.18,363.39,352.58,354.11,1059400,0,0
2020-06-08,350.94,360.16,350.79,358.81,830600,0,0
2020-06-09,357.6,361.58,354.0,357.78,655900,0,0
2020-06-10,362.21,362.89,354.71,359.05,749900,0,0
2020-06-11,354.83,357.4,335.85,336.92,1314500,0,0
2020-06-12,340.43,345.63,333.44,341.61,698200,0,0
