Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,96.98,98.66,95.33,96.45,1648900,0,0
2020-05-14,95.85,96.51,93.86,94.83,1085500,0,0
2020-05-15,94.09,96.15,93.22,96.12,1228800,0,0
2020-05-18,97.88,98.81,96.26,96.46,1160200,0,0
2020-05-19,97.33,97.48,94.36,94.92,961700,0,0
2020-05-20,95.43,98.49,93.64,98.32,1765700,0,0
2020-05-21,98.49,98.93,96.97,98.68,1462600,0,0
2020-05-22,97.67,99.8,97.45,99.37,1320500,0,0
2020-05-26,100.41,101.88,98.11,98.68,3190300,0,0
2020-05-27,98.73,99.81,96.62,98.22,2432600,0,0
2020-05-28,98.36,102.98,98.02,100.55,1659500,0,0
2020-05-29,101.21,102.57,99.57,101.91,3134100,0,0
2020-06-01,101.7,102.58,100.52,101.75,1345200,0,0
2020-06-02,101.12,102.17,99.17,100.9,1902000,0,0
2020-06-03,100.81,100.81,97.55,98.83,1630000,0,0
2020-06-04,98.19,99.35,93.48,93.8,1528700,0,0
2020-06-05,93.17,96.32,90.17,93.51,1599700,0,0
2020-06-08,91.87,94.6,91.05,94.58,1387500,0,0
2020-06-09,95.09,95.17,92.5,93.0,1199000,0,0
2020-06-10,94.19,95.04,92.97,93.04,1318300,0,0
2020-06-11,93.39,93.88,90.68,90.81,1934600,0,0
2020-06-12,92.35,93.69,89.96,92.07,1079800,0,0
