Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,66.56,67.38,65.84,66.22,1543400,0,0
2020-05-14,65.39,65.7,63.95,65.68,2383500,0,0
2020-05-15,65.19,66.78,65.02,66.56,3794900,0,0
2020-05-18,68.62,69.53,68.25,69.14,1819100,0,0
2020-05-19,69.02,69.31,67.23,67.25,1451200,0,0
2020-05-20,67.75,68.69,67.7,68.2,1338800,0,0
2020-05-21,67.88,68.58,66.88,67.09,1410300,0,0
2020-05-22,66.92,67.13,66.1,67.01,1330900,0,0
2020-05-26,68.34,68.85,67.72,68.21,2088100,0,0
2020-05-27,69.07,69.49,67.68,69.44,1947300,0,0
2020-05-28,69.98,70.0,68.95,69.11,1627400,0,0
2020-05-29,68.86,69.84,68.6,69.46,2347500,0,0
2020-06-01,69.79,70.6,69.24,69.92,1157800,0,0
2020-06-02,70.3,71.1,69.77,71.0,1490400,0,0
2020-06-03,71.39,72.89,71.06,72.66,1515000,0,0
2020-06-04,72.0,72.45,71.35,71.42,1492100,0,0
2020-06-05,73.37,73.92,72.69,73.56,2008100,0,0
2020-06-08,73.09,74.76,73.09,74.53,2452200,0,0
2020-06-09,74.07,74.07,72.68,73.11,1493600,0,0
2020-06-10,73.63,73.63,72.31,72.78,1524000,0,0
2020-06-11,71.43,71.43,69.15,69.26,1846900,0,0
2020-06-12,71.0,71.56,68.21,69.81,1578500,0,0
