Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,281.58,286.17,273.55,277.16,957100,0,0
2020-05-14,274.94,280.56,270.91,280.27,912900,0,0
2020-05-15,277.24,285.08,276.59,284.39,850000,0,0
2020-05-18,290.87,295.37,286.41,290.37,1187500,0,0
2020-05-19,290.89,292.98,286.54,286.75,1318200,0,0
2020-05-20,288.63,293.63,288.63,290.49,1418100,0,0
2020-05-21,291.15,293.47,286.4,290.0,1358300,0,0
2020-05-22,286.18,289.64,280.59,287.61,1770100,0,0
2020-05-26,291.46,291.94,280.97,282.2,1775700,0,0
2020-05-27,283.14,283.14,271.54,281.21,1479400,0,0
2020-05-28,282.0,290.24,281.38,283.87,1717800,0,0
2020-05-29,285.86,290.87,281.95,290.32,1689800,0,0
2020-06-01,289.11,291.72,288.08,289.95,1283800,0,0
2020-06-02,289.95,290.0,283.71,287.18,1132900,0,0
2020-06-03,288.56,290.72,285.65,290.1,1309700,0,0
2020-06-04,286.93,288.46,280.96,282.92,1316500,0,0
2020-06-05,280.77,289.0,275.63,288.11,1874000,0,0
2020-06-08,285.36,293.29,284.11,293.05,1067200,0,0
2020-06-09,292.63,295.25,290.6,291.25,1283000,0,0
2020-06-10,293.95,298.0,291.1,295.87,1072000,0,0
2020-06-11,293.9,294.98,277.72,277.87,1392600,0,0
2020-06-12,283.91,287.04,275.95,280.68,1173500,0,0
