Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.47,31.5,29.88,30.37,2586900,0.0,0
2020-05-14,30.0,31.1,29.29,31.07,3146600,0.0,0
2020-05-15,30.52,30.71,29.95,30.56,2727700,0.0,0
2020-05-18,31.77,32.69,31.71,32.28,4006300,0.0,0
2020-05-19,31.97,32.27,31.2,31.51,1765800,0.0,0
2020-05-20,31.89,32.88,31.86,32.48,2310300,0.0,0
2020-05-21,32.34,33.12,32.28,32.41,1808400,0.0,0
2020-05-22,32.39,32.48,31.66,32.13,2982800,0.0,0
2020-05-26,32.98,34.48,32.84,34.33,2998200,0.513,0
2020-05-27,35.25,36.07,35.0,35.84,2642500,0.0,0
2020-05-28,36.01,36.14,34.55,35.09,2683600,0.0,0
2020-05-29,34.8,34.94,33.71,34.05,6160700,0.0,0
2020-06-01,34.07,34.98,34.04,34.73,2689500,0.0,0
2020-06-02,34.92,35.83,34.85,35.23,2325700,0.0,0
2020-06-03,36.0,37.25,35.75,36.92,2728800,0.0,0
2020-06-04,36.6,37.85,36.15,37.83,2931400,0.0,0
2020-06-05,39.14,40.24,38.54,39.03,3235600,0.0,0
2020-06-08,39.2,39.8,38.83,39.69,2639900,0.0,0
2020-06-09,38.9,38.95,38.06,38.31,2073800,0.0,0
2020-06-10,38.04,38.1,36.7,36.77,2218500,0.0,0
2020-06-11,35.1,35.86,33.62,33.92,3265600,0.0,0
2020-06-12,35.6,35.62,34.12,34.92,2419000,0.0,0
