Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,15.69,15.78,14.58,14.91,5284700,0.0,0
2020-05-14,14.71,15.38,14.14,15.14,7564100,0.0,0
2020-05-15,14.96,15.42,14.77,15.15,6781000,0.0,0
2020-05-18,15.93,16.54,15.86,16.38,4841700,0.0,0
2020-05-19,16.3,16.38,15.73,15.82,4260800,0.0,0
2020-05-20,16.09,16.51,16.05,16.43,4158200,0.0,0
2020-05-21,16.38,16.59,16.05,16.09,3735400,0.0,0
2020-05-22,16.1,16.3,15.91,16.24,2842700,0.0,0
2020-05-26,16.95,17.57,16.71,17.27,5092200,0.0,0
2020-05-27,17.74,18.41,17.62,17.92,6269300,0.0,0
2020-05-28,18.0,18.13,17.15,17.19,6436700,0.0,0
2020-05-29,17.03,17.2,16.6,17.11,7658000,0.255,0
2020-06-01,17.13,17.6,17.05,17.47,2921800,0.0,0
2020-06-02,17.63,17.71,17.32,17.55,5771700,0.0,0
2020-06-03,17.91,18.36,17.78,18.3,4658800,0.0,0
2020-06-04,18.22,18.61,17.99,18.61,5847100,0.0,0
2020-06-05,19.41,20.04,19.22,19.35,5334900,0.0,0
2020-06-08,19.54,20.27,19.45,20.23,5442900,0.0,0
2020-06-09,19.82,19.9,19.19,19.24,4147400,0.0,0
2020-06-10,19.19,19.22,18.28,18.66,4473900,0.0,0
2020-06-11,17.62,17.78,16.97,17.06,6430800,0.0,0
2020-06-12,17.86,17.86,16.77,17.28,5737000,0.0,0
