Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,135.02,136.55,131.42,132.47,1174900,0,0
2020-05-14,130.59,132.97,128.52,132.37,1224800,0,0
2020-05-15,131.87,134.35,130.72,134.2,1133700,0,0
2020-05-18,138.6,140.85,138.0,138.56,850300,0,0
2020-05-19,138.1,141.8,137.73,140.86,2707600,0,0
2020-05-20,142.2,145.73,141.64,145.42,1245100,0,0
2020-05-21,145.2,146.38,142.45,143.2,1326400,0,0
2020-05-22,143.44,144.02,141.76,142.9,682900,0,0
2020-05-26,146.62,147.42,143.06,143.5,1468700,0,0
2020-05-27,145.7,147.17,141.87,146.82,1016000,0,0
2020-05-28,147.99,149.28,145.71,146.2,942700,0,0
2020-05-29,146.69,150.35,146.16,149.52,3005500,0,0
2020-06-01,149.1,150.01,147.01,149.41,884800,0,0
2020-06-02,149.85,151.75,148.39,151.53,1200000,0,0
2020-06-03,151.83,154.63,151.19,153.06,1234300,0,0
2020-06-04,151.22,152.74,150.2,151.21,1086900,0,0
2020-06-05,154.63,156.23,148.8,149.58,1731000,0,0
2020-06-08,148.62,151.38,148.43,150.0,1376100,0,0
2020-06-09,148.64,149.56,146.6,146.8,815000,0,0
2020-06-10,147.27,148.8,144.66,147.19,1210900,0,0
2020-06-11,143.57,143.84,138.22,138.64,1491200,0,0
2020-06-12,142.59,143.59,134.93,138.82,990200,0,0
