Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,22.45,22.57,22.06,22.31,3182500,0.0,0
2020-05-14,21.54,22.16,21.06,22.13,3332300,0.0,0
2020-05-15,21.92,22.14,21.69,21.92,1887300,0.0,0
2020-05-18,22.67,23.35,22.61,23.14,3378900,0.0,0
2020-05-19,23.07,23.44,22.66,22.93,2123100,0.0,0
2020-05-20,23.64,23.79,23.08,23.34,2188500,0.0,0
2020-05-21,23.19,23.59,23.03,23.39,2035900,0.0,0
2020-05-22,23.37,23.67,23.19,23.63,1510800,0.0,0
2020-05-26,24.54,24.73,24.14,24.29,3895500,0.0,0
2020-05-27,24.84,24.91,24.39,24.89,2945700,0.0,0
2020-05-28,25.29,25.41,24.87,25.12,3004300,0.0,0
2020-05-29,24.9,25.42,24.79,25.18,4239300,0.0,0
2020-06-01,25.19,25.97,25.12,25.82,3357300,0.0,0
2020-06-02,26.04,26.32,25.72,26.11,2994700,0.0,0
2020-06-03,26.56,27.82,26.5,27.76,4399400,0.0,0
2020-06-04,27.71,28.41,27.39,28.41,3899200,0.0,0
2020-06-05,29.36,29.92,28.94,29.04,4943000,0.0,0
2020-06-08,29.57,29.99,29.17,29.87,3163000,0.0,0
2020-06-09,29.1,29.55,28.65,29.45,3192900,0.0,0
2020-06-10,29.36,29.42,28.25,28.68,2677100,0.0,0
2020-06-11,27.41,27.41,26.36,26.99,7172800,0.0,0
2020-06-12,28.0,28.0,27.16,27.82,3007900,0.619,0
