Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,522.24,527.17,502.0,508.93,765800,0,0
2020-05-14,501.78,518.47,501.13,517.27,535200,0,0
2020-05-15,514.06,520.41,511.19,520.41,462100,0,0
2020-05-18,531.52,546.35,529.43,538.41,586300,0,0
2020-05-19,540.37,542.96,530.6,531.0,397400,0,0
2020-05-20,540.0,555.46,537.48,552.31,654900,0,0
2020-05-21,550.45,554.4,543.81,545.95,465300,0,0
2020-05-22,546.96,563.13,543.9,562.8,556500,0,0
2020-05-26,575.0,582.48,560.0,561.09,823100,0,0
2020-05-27,566.5,567.22,549.35,564.73,621000,0,0
2020-05-28,562.65,585.61,562.65,572.39,822400,0,0
2020-05-29,574.0,581.59,567.0,580.03,895400,0,0
2020-06-01,574.8,580.72,570.63,574.59,478300,0,0
2020-06-02,575.68,580.56,568.95,579.81,496100,0,0
2020-06-03,579.5,584.6,573.97,574.46,646000,0,0
2020-06-04,573.98,573.98,559.18,564.25,830200,0,0
2020-06-05,567.86,601.21,567.5,592.76,1012900,0,0
2020-06-08,590.6,593.72,584.41,592.7,605600,0,0
2020-06-09,585.06,592.75,582.78,584.52,496200,0,0
2020-06-10,574.37,590.03,571.28,585.38,579700,0,0
2020-06-11,573.97,576.69,547.13,547.83,882200,0,0
2020-06-12,563.03,569.34,545.52,558.41,672600,0,0
