Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,115.11,115.11,106.57,109.92,864900,0,0
2020-05-14,108.31,111.26,106.6,110.64,500000,0,0
2020-05-15,109.29,111.89,108.5,111.53,359800,0,0
2020-05-18,114.55,119.57,114.55,118.8,490200,0,0
2020-05-19,118.24,119.44,115.27,115.4,587500,0,0
2020-05-20,117.27,119.27,116.79,118.21,403800,0,0
2020-05-21,118.21,120.67,116.08,116.27,349400,0,0
2020-05-22,116.98,118.36,114.43,117.61,440800,0,0
2020-05-26,119.87,124.79,119.87,121.1,437200,0,0
2020-05-27,122.77,123.72,120.34,122.88,357400,0,0
2020-05-28,123.88,124.21,121.59,121.75,344600,0,0
2020-05-29,121.09,123.02,119.45,121.7,508300,0,0
2020-06-01,120.57,123.1,120.39,122.24,545500,0,0
2020-06-02,123.63,126.77,122.3,126.75,469000,0,0
2020-06-03,128.18,132.92,127.73,132.09,578400,0,0
2020-06-04,131.39,132.6,129.28,130.58,442000,0,0
2020-06-05,134.21,137.01,132.96,135.0,459800,0,0
2020-06-08,136.51,138.72,135.41,137.69,628700,0,0
2020-06-09,136.36,136.36,130.82,131.24,439800,0,0
2020-06-10,130.64,130.79,126.58,127.03,724800,0,0
2020-06-11,123.4,123.42,116.5,116.8,686300,0,0
2020-06-12,120.55,121.28,116.41,118.73,800200,0,0
