Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,7.2,7.25,6.71,6.77,11082000,0,0
2020-05-14,6.57,7.13,6.38,6.99,10160800,0,0
2020-05-15,6.65,6.86,6.63,6.7,11654300,0,0
2020-05-18,7.05,7.37,7.04,7.29,9926100,0,0
2020-05-19,7.28,7.52,7.11,7.24,7251700,0,0
2020-05-20,7.38,7.5,7.32,7.37,4408900,0,0
2020-05-21,7.36,7.58,7.31,7.35,5089000,0,0
2020-05-22,7.36,7.41,7.11,7.27,5223700,0,0
2020-05-26,7.66,8.26,7.64,8.09,9245000,0,0
2020-05-27,8.53,8.68,8.12,8.37,7781000,0,0
2020-05-28,8.56,8.67,8.09,8.13,7193400,0,0
2020-05-29,7.95,8.15,7.74,7.97,11971700,0,0
2020-06-01,8.01,8.35,7.92,8.22,6375200,0,0
2020-06-02,8.37,8.49,8.26,8.37,7551500,0,0
2020-06-03,8.65,9.22,8.65,9.15,7972500,0,0
2020-06-04,9.09,9.57,8.88,9.56,9283200,0,0
2020-06-05,10.3,10.97,9.95,10.41,12694000,0,0
2020-06-08,11.0,11.56,10.78,11.55,11391700,0,0
2020-06-09,10.84,11.27,10.61,11.14,9400400,0,0
2020-06-10,10.99,11.05,10.21,10.32,9052100,0,0
2020-06-11,9.32,10.05,9.25,9.82,10992800,0,0
2020-06-12,10.5,10.55,9.85,10.34,6889600,0,0
