Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,74.17,74.46,70.94,71.89,1010700,0.0,0
2020-05-14,70.65,71.73,69.0,71.42,970300,0.0,0
2020-05-15,70.47,72.19,69.99,71.93,766800,0.0,0
2020-05-18,74.77,77.62,74.42,77.18,1244300,0.0,0
2020-05-19,77.04,77.3,74.25,74.28,729900,0.19,0
2020-05-20,75.27,76.74,74.76,76.41,783800,0.0,0
2020-05-21,76.49,77.38,76.0,76.97,661300,0.0,0
2020-05-22,76.32,77.38,76.25,77.1,770600,0.0,0
2020-05-26,79.07,81.2,78.66,80.61,838100,0.0,0
2020-05-27,82.23,84.37,81.87,84.22,1090400,0.0,0
2020-05-28,85.12,85.15,83.5,84.29,797600,0.0,0
2020-05-29,83.15,84.42,82.51,84.02,1296100,0.0,0
2020-06-01,83.99,85.8,83.22,85.09,727400,0.0,0
2020-06-02,85.64,85.88,84.62,85.36,729400,0.0,0
2020-06-03,86.54,88.01,86.23,87.81,690500,0.0,0
2020-06-04,87.09,87.59,86.6,87.59,672000,0.0,0
2020-06-05,90.0,91.48,88.75,89.06,765900,0.0,0
2020-06-08,89.15,90.33,88.77,89.51,884700,0.0,0
2020-06-09,88.04,89.26,87.81,88.59,645400,0.0,0
2020-06-10,88.77,88.77,84.84,84.87,822700,0.0,0
2020-06-11,82.34,82.84,79.59,80.13,1330900,0.0,0
2020-06-12,82.83,82.9,78.58,80.49,1071700,0.0,0
