Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,27.71,27.9,26.78,27.22,6449500,0,0
2020-05-14,27.26,28.8,26.23,28.59,5778500,0,0
2020-05-15,28.37,28.92,28.03,28.46,8629200,0,0
2020-05-18,29.58,30.08,29.28,29.53,5082100,0,0
2020-05-19,29.58,29.74,28.99,29.0,4633600,0,0
2020-05-20,29.19,29.31,28.58,28.74,6842500,0,0
2020-05-21,28.61,29.54,28.61,29.41,6588800,0,0
2020-05-22,29.41,29.56,29.08,29.53,3649500,0,0
2020-05-26,30.49,31.48,30.42,31.07,4874800,0,0
2020-05-27,32.0,32.53,31.47,31.87,6167600,0,0
2020-05-28,32.2,32.3,31.36,31.53,4835000,0,0
2020-05-29,31.15,31.77,31.03,31.41,6992700,0,0
2020-06-01,31.45,31.85,31.17,31.77,3187400,0,0
2020-06-02,32.0,32.38,32.0,32.35,4552900,0,0
2020-06-03,32.74,33.72,32.56,33.57,3561800,0,0
2020-06-04,33.34,34.48,33.29,34.41,5905100,0,0
2020-06-05,35.72,36.46,35.56,36.05,5940000,0,0
2020-06-08,36.18,37.07,36.18,36.81,4902700,0,0
2020-06-09,36.08,36.27,35.49,35.74,4352400,0,0
2020-06-10,35.5,35.5,34.39,34.43,6768800,0,0
2020-06-11,33.02,33.77,32.81,33.62,12949500,0,0
2020-06-12,34.86,35.06,33.67,34.45,12188100,0,0
