Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,184.25,186.95,181.83,184.64,468900,0.0,0
2020-05-14,183.84,184.98,181.86,184.79,574100,0.0,0
2020-05-15,183.47,189.66,182.08,189.34,795000,0.0,0
2020-05-18,193.51,194.57,189.9,190.46,635500,0.0,0
2020-05-19,190.53,193.24,188.29,188.3,378900,0.0,0
2020-05-20,191.58,193.03,189.56,190.02,386000,0.0,0
2020-05-21,190.09,190.09,184.75,185.06,442200,0.0,0
2020-05-22,184.39,186.65,183.21,186.48,313700,0.0,0
2020-05-26,189.34,189.34,181.33,181.76,617200,0.0,0
2020-05-27,181.77,185.09,175.22,176.72,925700,0.43,0
2020-05-28,177.48,179.94,176.72,177.86,743200,0.0,0
2020-05-29,179.01,181.39,177.26,180.86,1156700,0.0,0
2020-06-01,181.94,183.01,179.67,180.72,544700,0.0,0
2020-06-02,182.32,182.9,180.19,182.6,739500,0.0,0
2020-06-03,182.38,182.75,178.04,178.4,371000,0.0,0
2020-06-04,176.23,178.79,176.23,178.07,537000,0.0,0
2020-06-05,179.27,180.15,175.19,179.87,673400,0.0,0
2020-06-08,178.06,178.1,173.57,176.29,672800,0.0,0
2020-06-09,176.98,179.5,176.61,178.86,481700,0.0,0
2020-06-10,180.53,183.03,178.76,182.34,615100,0.0,0
2020-06-11,182.18,183.0,174.59,174.9,612500,0.0,0
2020-06-12,176.76,178.18,170.26,172.25,584100,0.0,0
