Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,23.11,23.5,22.41,22.63,6740400,0.0,0
2020-05-14,22.43,22.95,22.4,22.73,3058200,0.0,0
2020-05-15,22.61,23.26,22.54,22.76,9379200,0.0,0
2020-05-18,23.13,23.36,22.89,23.24,3133800,0.0,0
2020-05-19,23.24,23.41,23.04,23.06,2479500,0.0,0
2020-05-20,23.24,23.63,23.17,23.44,2647800,0.0,0
2020-05-21,23.4,23.53,23.09,23.11,2462100,0.0,0
2020-05-22,23.21,23.21,22.71,22.96,2166500,0.0,0
2020-05-26,23.38,23.52,23.03,23.05,3373800,0.0,0
2020-05-27,23.24,23.87,23.22,23.69,3802500,0.0,0
2020-05-28,23.8,23.89,23.42,23.52,3444500,0.0,0
2020-05-29,23.61,24.31,23.53,24.26,4582100,0.2,0
2020-06-01,24.2,24.46,23.91,24.28,2137800,0.0,0
2020-06-02,24.28,24.32,23.98,24.23,2481000,0.0,0
2020-06-03,24.3,24.54,24.17,24.47,2240300,0.0,0
2020-06-04,24.35,24.74,24.25,24.64,3093600,0.0,0
2020-06-05,25.0,25.13,24.77,24.85,2356200,0.0,0
2020-06-08,24.8,25.58,24.8,25.45,2934100,0.0,0
2020-06-09,25.36,25.39,24.83,24.93,2201900,0.0,0
2020-06-10,24.94,25.31,24.72,25.06,3153600,0.0,0
2020-06-11,24.57,24.58,23.25,23.26,3101800,0.0,0
2020-06-12,23.79,24.37,23.49,23.89,2779800,0.0,0
