Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,16.04,16.09,15.16,15.5,4474500,0,0
2020-05-14,15.02,16.45,14.24,15.61,6009400,0,0
2020-05-15,15.3,16.98,15.02,16.37,7407500,0,0
2020-05-18,17.24,17.53,16.31,16.61,7625800,0,0
2020-05-19,16.5,16.52,15.46,15.75,6816300,0,0
2020-05-20,16.12,16.19,15.0,15.1,7560500,0,0
2020-05-21,15.12,16.26,15.01,15.99,9775500,0,0
2020-05-22,16.03,16.22,15.22,15.66,6082300,0,0
2020-05-26,16.52,17.12,16.38,16.81,10707600,0,0
2020-05-27,18.01,19.7,17.86,19.64,13666000,0,0
2020-05-28,19.68,19.85,17.86,18.12,12466400,0,0
2020-05-29,16.84,16.96,16.0,16.13,25117500,0,0
2020-06-01,16.2,17.49,16.1,16.59,11345600,0,0
2020-06-02,16.85,17.89,16.28,17.78,11738500,0,0
2020-06-03,18.2,19.7,18.2,19.43,12095600,0,0
2020-06-04,19.25,21.55,19.14,21.33,12941500,0,0
2020-06-05,23.46,24.94,21.71,22.62,13841700,0,0
2020-06-08,24.42,24.5,22.42,23.56,9285600,0,0
2020-06-09,22.84,22.92,20.96,21.23,11873100,0,0
2020-06-10,21.01,21.01,19.53,19.54,9855700,0,0
2020-06-11,17.65,18.56,17.01,17.15,15102700,0,0
2020-06-12,18.28,18.4,16.81,17.63,11205800,0,0
