Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.91,9.98,9.4,9.51,15763600,0.0,0
2020-05-14,9.23,9.85,8.91,9.77,18563800,0.0,0
2020-05-15,9.63,9.85,9.45,9.57,10252400,0.0,0
2020-05-18,10.15,10.61,10.07,10.54,9924100,0.0,0
2020-05-19,10.4,10.47,10.03,10.05,7718900,0.0,0
2020-05-20,10.32,10.63,10.25,10.57,10154400,0.0,0
2020-05-21,10.5,10.78,10.46,10.54,9365000,0.0,0
2020-05-22,10.6,10.7,10.31,10.57,9706900,0.0,0
2020-05-26,11.27,11.87,11.2,11.67,12681600,0.0,0
2020-05-27,12.34,12.62,11.91,12.54,13175400,0.0,0
2020-05-28,12.8,12.83,11.84,11.9,10332900,0.0,0
2020-05-29,11.64,11.86,11.43,11.66,15640600,0.0,0
2020-06-01,11.75,11.97,11.59,11.85,8024500,0.185,0
2020-06-02,12.06,12.26,11.84,11.98,7513500,0.0,0
2020-06-03,12.31,12.72,12.24,12.58,16029800,0.0,0
2020-06-04,12.59,13.55,12.45,13.53,15875800,0.0,0
2020-06-05,14.87,15.32,14.37,14.56,24089200,0.0,0
2020-06-08,15.06,15.28,14.6,15.21,14806500,0.0,0
2020-06-09,14.5,15.17,14.33,14.79,24688800,0.0,0
2020-06-10,14.65,14.65,13.81,13.88,25464000,0.0,0
2020-06-11,12.62,13.2,12.47,12.7,19858600,0.0,0
2020-06-12,13.5,13.52,12.7,13.22,15234700,0.0,0
