Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,99.06,100.64,96.36,97.56,1087100,0,0
2020-05-14,96.56,98.85,95.5,98.7,1219000,0,0
2020-05-15,96.29,97.68,93.16,94.78,2462500,0,0
2020-05-18,95.86,98.75,95.18,96.85,1485000,0,0
2020-05-19,96.85,97.5,95.72,96.0,1663300,0,0
2020-05-20,98.41,103.8,97.99,102.92,3562100,0,0
2020-05-21,102.4,102.53,99.54,99.99,1959600,0,0
2020-05-22,100.58,102.19,99.28,102.06,1542400,0,0
2020-05-26,103.0,106.98,103.0,103.4,3223900,0,0
2020-05-27,97.5,101.83,96.91,101.74,4926900,0,0
2020-05-28,102.0,107.2,101.64,103.64,3203200,0,0
2020-05-29,103.0,108.65,103.0,108.13,9318600,0,0
2020-06-01,107.93,107.93,105.32,106.93,2728500,0,0
2020-06-02,106.25,106.42,103.97,106.31,2102200,0,0
2020-06-03,106.5,108.1,105.97,106.54,1950400,0,0
2020-06-04,105.0,105.6,101.37,102.38,2423600,0,0
2020-06-05,103.63,107.03,102.96,106.41,3314700,0,0
2020-06-08,105.52,105.53,102.64,102.87,1755400,0,0
2020-06-09,102.72,104.36,102.44,103.11,1495000,0,0
2020-06-10,103.4,104.64,102.16,103.49,1415900,0,0
2020-06-11,99.99,101.07,97.45,97.82,2211400,0,0
2020-06-12,100.1,100.82,94.94,95.67,2338900,0,0
