Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,29.06,29.14,28.11,28.39,6637400,0.0,0
2020-05-14,28.13,28.56,27.76,28.43,4866400,0.0,0
2020-05-15,28.34,28.94,28.19,28.82,5349400,0.0,0
2020-05-18,29.67,30.74,29.56,30.47,12873400,0.0,0
2020-05-19,30.42,30.53,29.51,29.52,6538500,0.0,0
2020-05-20,29.76,30.09,29.59,29.85,4609500,0.0,0
2020-05-21,29.67,29.72,29.21,29.33,4170800,0.0,0
2020-05-22,29.19,29.6,29.18,29.56,3283400,0.0,0
2020-05-26,29.97,30.34,29.75,29.83,5977800,0.0,0
2020-05-27,29.97,30.66,29.88,30.63,5170600,0.0,0
2020-05-28,30.62,30.75,30.26,30.39,3709900,0.4,0
2020-05-29,30.27,30.59,29.77,30.47,6856500,0.0,0
2020-06-01,30.5,30.78,30.32,30.42,5396200,0.0,0
2020-06-02,30.49,31.46,30.42,31.43,7215400,0.0,0
2020-06-03,31.5,31.83,31.28,31.31,5623100,0.0,0
2020-06-04,30.97,31.5,30.82,31.49,6157000,0.0,0
2020-06-05,31.73,32.64,31.69,32.62,19534500,0.0,0
2020-06-08,32.54,34.0,32.51,33.97,11939500,0.0,0
2020-06-09,33.3,33.5,32.74,33.1,5874900,0.0,0
2020-06-10,33.09,33.19,32.4,32.5,5541200,0.0,0
2020-06-11,31.72,31.91,31.14,31.18,6965100,0.0,0
2020-06-12,31.79,31.98,31.23,31.8,5436600,0.0,0
