Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.26,9.29,8.58,8.76,13396500,0,0
2020-05-14,8.54,9.25,8.35,9.22,9649300,0,0
2020-05-15,8.9,9.27,8.7,9.15,9746100,0,0
2020-05-18,9.73,10.5,9.63,10.41,7103300,0,0
2020-05-19,10.23,10.67,9.98,10.46,8218300,0,0
2020-05-20,10.59,10.98,10.37,10.96,12312700,0,0
2020-05-21,10.92,11.36,10.81,11.26,10145000,0,0
2020-05-22,11.26,11.41,11.08,11.33,9396400,0,0
2020-05-26,12.03,12.42,12.0,12.24,7554000,0,0
2020-05-27,12.8,12.96,12.09,12.43,9095400,0,0
2020-05-28,12.6,12.7,11.61,11.71,14658800,0,0
2020-05-29,11.49,11.6,10.96,11.11,38668600,0,0
2020-06-01,11.15,12.17,11.1,11.98,8212500,0,0
2020-06-02,12.24,12.64,12.11,12.48,7177400,0,0
2020-06-03,12.9,14.09,12.86,13.9,10540400,0,0
2020-06-04,13.8,14.35,13.43,14.31,7499100,0,0
2020-06-05,15.32,15.89,15.02,15.22,8813100,0,0
2020-06-08,15.82,16.06,15.54,15.69,7750000,0,0
2020-06-09,14.44,15.24,14.43,14.92,7228700,0,0
2020-06-10,14.71,14.81,13.84,14.06,8064800,0,0
2020-06-11,12.67,13.54,12.42,12.55,9753000,0,0
2020-06-12,13.48,13.86,12.99,13.76,6723900,0,0
