Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,14.93,14.99,14.64,14.73,12381800,0,0
2020-05-14,14.47,14.89,14.16,14.84,12761900,0,0
2020-05-15,14.87,15.04,14.66,14.84,18656100,0,0
2020-05-18,15.53,15.68,15.33,15.49,18884200,0,0
2020-05-19,15.45,15.51,15.22,15.34,10795200,0,0
2020-05-20,15.61,15.77,15.42,15.65,16743300,0,0
2020-05-21,15.68,15.77,15.31,15.36,9708700,0,0
2020-05-22,15.22,15.44,14.96,15.41,8303300,0,0
2020-05-26,15.81,15.98,15.72,15.8,10353300,0,0
2020-05-27,16.0,16.08,15.46,15.97,11162300,0,0
2020-05-28,16.08,16.12,15.65,15.72,10905400,0,0
2020-05-29,15.59,15.85,15.31,15.8,16079100,0,0
2020-06-01,15.77,15.82,15.54,15.77,8452000,0,0
2020-06-02,15.87,15.95,15.72,15.88,9581300,0,0
2020-06-03,16.02,16.18,15.89,16.15,11732600,0,0
2020-06-04,16.13,16.25,16.01,16.23,10676100,0,0
2020-06-05,16.75,16.96,16.58,16.72,14209700,0,0
2020-06-08,17.06,17.97,17.04,17.97,21611600,0,0
2020-06-09,17.48,17.51,17.15,17.29,19012500,0,0
2020-06-10,17.13,17.25,16.82,16.93,18755300,0,0
2020-06-11,16.06,16.26,15.45,15.51,27110700,0,0
2020-06-12,15.99,16.0,15.16,15.5,17364300,0,0
