Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,74.41,74.99,72.44,73.95,1661300,0,0
2020-05-14,71.23,75.25,70.72,75.17,1371800,0,0
2020-05-15,74.12,75.97,72.97,75.8,1492100,0,0
2020-05-18,80.02,83.76,79.58,79.75,2049900,0,0
2020-05-19,79.66,81.19,78.42,78.95,1060100,0,0
2020-05-20,79.79,80.57,77.92,78.35,1251300,0,0
2020-05-21,78.56,80.53,77.79,80.42,969400,0,0
2020-05-22,80.68,81.79,79.76,81.55,1429400,0,0
2020-05-26,84.8,86.37,83.67,85.22,1776700,0,0
2020-05-27,87.82,89.8,86.06,89.21,2217300,0,0
2020-05-28,90.06,90.74,88.0,88.68,2034900,0,0
2020-05-29,87.51,89.69,85.93,88.05,1931800,0,0
2020-06-01,89.6,91.45,89.36,90.09,1735000,0,0
2020-06-02,91.16,92.1,89.87,92.03,1339600,0,0
2020-06-03,92.54,94.87,92.33,94.8,1252600,0,0
2020-06-04,93.7,94.91,92.49,93.13,1389800,0,0
2020-06-05,96.39,97.78,94.24,95.93,2024600,0,0
2020-06-08,97.05,98.45,96.89,98.35,1526800,0,0
2020-06-09,96.63,96.65,93.95,94.92,1763300,0,0
2020-06-10,94.73,94.73,90.83,91.99,1923700,0,0
2020-06-11,88.67,89.66,85.63,87.29,2155200,0,0
2020-06-12,91.0,92.0,87.64,89.98,1412100,0,0
