Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,44.31,44.38,43.13,43.54,15854800,0.0,0
2020-05-14,42.99,43.66,42.84,43.31,18000800,0.0,0
2020-05-15,43.56,44.29,42.81,42.87,31579400,0.0,0
2020-05-18,44.42,44.98,43.73,44.57,26122300,0.0,0
2020-05-19,44.6,44.92,43.85,44.14,17839900,0.0,0
2020-05-20,44.79,45.75,44.61,45.48,22295900,0.0,0
2020-05-21,45.67,45.68,44.62,44.76,13193500,0.0,0
2020-05-22,44.81,44.9,44.25,44.62,13008400,0.0,0
2020-05-26,46.5,46.51,45.52,45.68,22223100,0.0,0
2020-05-27,46.58,46.67,45.75,46.31,18447600,0.0,0
2020-05-28,46.87,47.03,46.4,46.67,16230600,0.0,0
2020-05-29,46.26,46.77,45.72,46.26,51129900,0.0,0
2020-06-01,46.24,46.8,46.17,46.57,17010700,0.0,0
2020-06-02,46.74,46.85,46.14,46.48,15255100,0.0,0
2020-06-03,46.84,47.69,46.7,47.47,15508300,0.0,0
2020-06-04,47.51,47.84,46.95,47.49,13604700,0.0,0
2020-06-05,48.1,49.04,48.02,48.65,20504800,0.0,0
2020-06-08,49.09,49.52,49.02,49.4,19896700,0.0,0
2020-06-09,49.14,49.14,48.24,48.56,16713700,0.0,0
2020-06-10,48.72,48.83,48.13,48.18,15716600,0.0,0
2020-06-11,47.38,47.49,45.05,45.13,26070400,0.0,0
2020-06-12,46.21,46.25,45.01,45.6,21813400,0.41,0
