Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,33.45,34.34,33.45,33.94,8875900,0.0,0
2020-05-14,33.88,34.23,32.37,32.78,11098400,0.16,0
2020-05-15,32.71,32.95,32.26,32.51,15070900,0.0,0
2020-05-18,32.43,32.53,31.5,32.26,12825000,0.0,0
2020-05-19,32.4,32.5,31.74,31.76,7409600,0.0,0
2020-05-20,32.02,32.38,31.61,32.3,7838100,0.0,0
2020-05-21,32.3,32.5,31.85,32.12,7097000,0.0,0
2020-05-22,32.23,32.58,32.07,32.37,6134500,0.0,0
2020-05-26,32.07,32.38,31.3,31.37,9838000,0.0,0
2020-05-27,31.47,33.29,31.29,33.28,14999700,0.0,0
2020-05-28,33.33,33.8,32.01,32.06,13326500,0.0,0
2020-05-29,32.17,32.71,31.62,32.62,16545600,0.0,0
2020-06-01,32.71,33.22,32.43,32.49,6933400,0.0,0
2020-06-02,32.39,33.0,32.31,33.0,6764100,0.0,0
2020-06-03,33.01,33.34,32.45,32.68,6579500,0.0,0
2020-06-04,32.58,33.13,32.57,33.11,8774800,0.0,0
2020-06-05,33.05,33.19,32.4,32.48,11374100,0.0,0
2020-06-08,32.17,33.01,32.08,33.01,9460400,0.0,0
2020-06-09,33.26,33.35,32.42,32.92,7507500,0.0,0
2020-06-10,33.09,33.35,32.38,32.57,7871600,0.0,0
2020-06-11,32.61,33.76,32.5,32.7,12449200,0.0,0
2020-06-12,32.89,33.11,31.83,32.26,9662400,0.0,0
