Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,16.78,16.9,15.98,16.33,7921000,0,0
2020-05-14,15.82,17.3,15.31,16.69,8061200,0,0
2020-05-15,16.35,17.71,16.1,17.54,9449400,0,0
2020-05-18,18.54,19.33,18.3,18.82,15992900,0,0
2020-05-19,18.55,18.61,16.9,17.38,24297200,0,0
2020-05-20,17.76,17.76,16.62,16.7,14811000,0,0
2020-05-21,16.58,18.3,16.31,18.01,14671800,0,0
2020-05-22,18.06,18.35,17.19,17.48,8518400,0,0
2020-05-26,18.55,19.66,18.42,19.46,13145900,0,0
2020-05-27,20.54,22.31,20.31,22.29,18688800,0,0
2020-05-28,22.52,22.61,19.96,20.12,15447800,0,0
2020-05-29,19.54,19.73,18.8,19.22,21263800,0,0
2020-06-01,19.16,21.04,19.01,20.7,13221800,0,0
2020-06-02,21.08,21.46,20.21,21.05,10626300,0,0
2020-06-03,21.64,23.2,21.64,22.9,12266700,0,0
2020-06-04,22.93,24.28,22.3,23.84,12021900,0,0
2020-06-05,27.33,28.65,26.36,26.58,18114500,0,0
2020-06-08,28.35,28.89,27.4,28.83,13538400,0,0
2020-06-09,27.81,29.34,26.65,26.82,13522600,0,0
2020-06-10,26.76,26.8,23.94,23.95,16263500,0,0
2020-06-11,21.51,22.74,20.99,21.26,12965900,0,0
2020-06-12,23.07,23.29,21.88,23.22,8779200,0,0
