Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,131.51,134.96,130.68,134.6,1452100,0.0,0
2020-05-14,132.54,133.86,128.47,133.76,1009600,0.0,0
2020-05-15,132.44,136.06,131.99,133.51,945100,0.0,0
2020-05-18,138.26,142.81,138.24,138.62,1058400,0.0,0
2020-05-19,138.1,143.74,138.09,142.25,1299000,0.0,0
2020-05-20,144.23,149.55,144.23,148.36,1535200,0.0,0
2020-05-21,147.33,148.19,145.33,145.96,972100,0.0,0
2020-05-22,146.05,147.55,144.42,146.87,783700,0.0,0
2020-05-26,152.7,153.97,150.38,153.14,825900,0.0,0
2020-05-27,154.92,157.33,152.58,154.35,1143100,0.0,0
2020-05-28,156.0,156.55,151.54,151.78,1033600,0.0,0
2020-05-29,150.83,151.48,149.12,150.13,1605100,0.0,0
2020-06-01,150.55,150.6,147.7,148.89,827500,0.0,0
2020-06-02,150.11,151.84,148.82,148.93,1098600,0.0,0
2020-06-03,151.06,155.02,150.97,154.0,1112800,0.0,0
2020-06-04,152.63,155.88,152.5,154.98,785700,0.0,0
2020-06-05,159.45,164.27,159.03,162.56,1382300,0.4,0
2020-06-08,162.03,163.96,158.17,159.44,1277300,0.0,0
2020-06-09,155.65,159.95,154.5,158.17,811600,0.0,0
2020-06-10,158.05,158.61,155.19,157.2,958800,0.0,0
2020-06-11,152.04,152.04,145.19,145.57,959600,0.0,0
2020-06-12,150.04,151.23,143.83,147.27,979900,0.0,0
