Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,29.1,29.36,28.18,28.74,2390200,0.0,0
2020-05-14,28.19,29.38,27.28,29.03,1463500,0.0,0
2020-05-15,28.65,29.83,28.1,29.75,4071300,0.0,0
2020-05-18,31.39,32.03,31.2,31.59,1705600,0.0,0
2020-05-19,31.47,31.67,30.99,31.0,1197200,0.0,0
2020-05-20,31.48,32.38,31.48,32.13,1045100,0.0,0
2020-05-21,32.01,32.4,31.77,32.03,1144400,0.0,0
2020-05-22,32.18,32.22,31.25,31.85,846300,0.0,0
2020-05-26,33.28,33.65,32.91,33.04,1011400,0.063,0
2020-05-27,34.38,34.75,33.81,34.24,1070200,0.0,0
2020-05-28,34.69,34.8,33.6,33.78,1021300,0.0,0
2020-05-29,33.27,33.64,32.66,33.24,2610600,0.0,0
2020-06-01,33.16,33.89,32.75,33.77,1000600,0.0,0
2020-06-02,34.23,35.09,34.02,34.64,1668300,0.0,0
2020-06-03,35.36,35.9,35.28,35.48,1131000,0.0,0
2020-06-04,35.31,36.52,34.55,36.5,1176200,0.0,0
2020-06-05,38.73,39.82,38.18,39.08,1478700,0.0,0
2020-06-08,39.79,40.07,39.1,39.95,1403000,0.0,0
2020-06-09,38.69,38.91,37.85,38.26,1150300,0.0,0
2020-06-10,37.88,37.88,36.01,36.17,1699100,0.0,0
2020-06-11,34.22,34.56,32.15,32.19,2472400,0.0,0
2020-06-12,33.75,33.77,31.71,33.02,1933900,0.0,0
