Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,11.22,11.22,10.25,10.6,11355800,0,0
2020-05-14,10.24,11.32,10.03,10.48,9827200,0,0
2020-05-15,10.25,11.2,10.06,10.86,8898100,0,0
2020-05-18,11.61,12.9,11.54,12.77,15586100,0,0
2020-05-19,12.54,13.11,12.16,12.51,9410500,0,0
2020-05-20,12.64,12.87,11.51,12.22,13988600,0,0
2020-05-21,13.26,14.83,13.01,14.45,28689200,0,0
2020-05-22,14.5,15.18,14.21,15.08,12101800,0,0
2020-05-26,15.8,16.98,15.68,16.68,13541400,0,0
2020-05-27,17.27,17.63,16.07,17.2,10455700,0,0
2020-05-28,17.24,17.32,16.16,16.28,10964700,0,0
2020-05-29,15.75,16.63,15.51,16.19,7886000,0,0
2020-06-01,16.25,17.15,15.97,16.54,7625700,0,0
2020-06-02,16.84,16.9,16.07,16.8,7709500,0,0
2020-06-03,17.25,18.69,17.25,18.31,9156200,0,0
2020-06-04,17.93,18.3,17.47,17.85,14752100,0,0
2020-06-05,19.14,19.88,18.52,18.68,10920900,0,0
2020-06-08,19.58,19.74,18.82,19.31,9461800,0,0
2020-06-09,18.7,18.86,17.87,18.05,8066500,0,0
2020-06-10,17.92,18.26,17.29,17.46,6965400,0,0
2020-06-11,15.75,16.45,15.04,15.48,8243900,0,0
2020-06-12,16.49,16.87,15.04,15.65,7282500,0,0
