Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,98.58,99.12,94.03,95.19,1173800,0.0,0
2020-05-14,93.53,95.57,91.36,95.51,939200,0.0,0
2020-05-15,94.85,97.38,94.15,96.49,589700,0.0,0
2020-05-18,98.56,99.49,98.1,98.4,699800,0.0,0
2020-05-19,98.41,99.31,97.33,97.49,871000,0.0,0
2020-05-20,98.04,99.06,97.57,98.57,964000,0.0,0
2020-05-21,98.19,99.28,97.41,99.06,541200,0.0,0
2020-05-22,99.55,100.78,98.02,100.62,600700,0.0,0
2020-05-26,102.58,103.17,101.73,101.9,1621900,0.0,0
2020-05-27,102.12,102.79,100.46,102.41,1039500,0.0,0
2020-05-28,103.24,105.35,101.7,104.01,919500,0.0,0
2020-05-29,104.11,105.28,103.21,104.93,1023600,0.0,0
2020-06-01,104.83,106.58,104.53,105.62,630500,0.0,0
2020-06-02,105.68,105.86,102.39,104.18,1016800,0.0,0
2020-06-03,104.45,107.59,104.43,106.9,750000,0.0,0
2020-06-04,106.1,107.73,104.83,105.61,1045300,0.0,0
2020-06-05,107.24,108.11,105.42,105.69,828600,0.0,0
2020-06-08,104.9,106.18,103.51,106.18,930600,0.0,0
2020-06-09,105.62,105.87,103.89,105.33,626700,0.0,0
2020-06-10,105.6,105.77,102.68,104.42,810100,0.0,0
2020-06-11,103.33,103.44,100.0,100.03,1083200,0.0,0
2020-06-12,102.56,103.59,97.69,98.91,1092600,0.34,0
