Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,26.18,26.57,24.02,24.32,2055700,0.0,0
2020-05-14,24.77,26.81,23.72,26.7,2257200,0.0,0
2020-05-15,25.94,26.91,25.36,26.29,1834500,0.0,0
2020-05-18,28.92,30.38,28.63,30.07,2160400,0.0,0
2020-05-19,29.33,29.62,28.18,28.21,1080800,0.0,0
2020-05-20,28.78,29.56,28.58,29.26,1128700,0.0,0
2020-05-21,29.08,29.83,28.9,29.36,759100,0.0,0
2020-05-22,29.26,29.65,28.62,29.63,1249800,0.0,0
2020-05-26,31.44,31.97,30.83,31.29,1698500,0.0,0
2020-05-27,32.7,33.41,32.04,33.38,1687900,0.0,0
2020-05-28,33.75,33.89,31.65,31.75,1745700,0.0,0
2020-05-29,31.23,31.54,29.86,30.22,8145900,0.0,0
2020-06-01,30.4,31.69,30.2,31.41,1410000,0.0,0
2020-06-02,31.43,32.27,31.43,32.0,1340500,0.0,0
2020-06-03,32.76,35.07,32.76,34.7,1755400,0.0,0
2020-06-04,34.26,35.4,33.55,35.34,1298200,0.0,0
2020-06-05,38.67,38.77,36.5,36.7,1791000,0.0,0
2020-06-08,37.33,38.35,37.17,38.14,1715300,0.0,0
2020-06-09,37.18,37.53,36.61,37.19,1373400,0.0,0
2020-06-10,36.94,37.2,35.28,35.55,1677000,0.0,0
2020-06-11,32.54,33.98,32.4,32.82,2152500,0.0,0
2020-06-12,34.36,34.83,31.88,32.82,1228600,0.4,0
