Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,50.42,50.76,48.14,48.92,3839600,0,0
2020-05-14,47.36,48.88,46.1,48.75,3584300,0,0
2020-05-15,48.18,51.11,47.66,50.64,2599700,0,0
2020-05-18,53.41,57.27,53.3,56.6,3710600,0,0
2020-05-19,55.79,60.1,55.77,58.43,5052200,0,0
2020-05-20,59.53,59.97,56.23,57.55,3851800,0,0
2020-05-21,57.32,59.85,57.1,59.0,2469600,0,0
2020-05-22,59.44,60.46,58.51,60.09,2287700,0,0
2020-05-26,62.71,63.5,60.57,61.77,4557900,0,0
2020-05-27,63.64,65.22,62.03,64.99,3448100,0,0
2020-05-28,65.69,65.9,59.74,60.19,5152600,0,0
2020-05-29,59.76,62.04,59.29,60.46,4281200,0,0
2020-06-01,60.9,62.33,59.64,60.14,3854400,0,0
2020-06-02,60.92,60.97,59.23,60.21,3824300,0,0
2020-06-03,61.33,63.79,60.79,63.47,4515200,0,0
2020-06-04,62.94,63.85,60.28,61.08,4026200,0,0
2020-06-05,63.75,64.73,61.33,63.71,4297900,0,0
2020-06-08,63.51,65.48,61.96,62.66,2701500,0,0
2020-06-09,61.51,62.82,60.83,62.21,3368600,0,0
2020-06-10,61.99,64.13,60.55,62.48,4438600,0,0
2020-06-11,59.04,61.0,57.16,57.22,4548000,0,0
2020-06-12,60.13,61.8,58.35,59.25,5827600,0,0
