Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,167.16,167.16,156.43,158.69,1353100,0,0
2020-05-14,155.93,164.0,155.19,163.75,1131400,0,0
2020-05-15,164.75,168.77,163.09,167.43,923200,0,0
2020-05-18,171.68,172.75,167.08,167.09,956800,0,0
2020-05-19,166.02,169.21,164.11,167.01,628600,0,0
2020-05-20,170.57,173.93,169.66,170.52,819000,0,0
2020-05-21,170.86,174.11,169.57,172.32,586300,0,0
2020-05-22,172.69,173.01,169.33,170.16,544900,0,0
2020-05-26,175.28,175.28,168.15,168.57,831600,0,0
2020-05-27,170.56,175.0,166.76,174.86,859700,0,0
2020-05-28,176.21,179.17,173.24,175.66,811800,0,0
2020-05-29,175.66,177.7,172.16,175.32,1134800,0,0
2020-06-01,174.07,179.12,174.07,177.02,527000,0,0
2020-06-02,178.19,180.18,176.69,179.82,1012100,0,0
2020-06-03,182.5,183.17,179.01,179.19,569800,0,0
2020-06-04,179.15,183.26,178.01,180.64,1030800,0,0
2020-06-05,183.86,185.82,179.11,179.74,667600,0,0
2020-06-08,179.7,184.55,179.23,182.44,768400,0,0
2020-06-09,182.0,183.57,178.58,178.94,565600,0,0
2020-06-10,178.71,179.94,174.65,175.1,659200,0,0
2020-06-11,170.19,170.9,163.4,163.55,975900,0,0
2020-06-12,170.17,170.17,162.54,167.73,766500,0,0
