Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,179.36,180.11,174.81,176.78,1399100,0.0,0
2020-05-14,174.53,177.23,171.09,177.08,1731600,0.0,0
2020-05-15,175.06,176.71,173.94,176.03,1714100,0.0,0
2020-05-18,181.9,181.9,178.57,180.15,1505300,0.0,0
2020-05-19,180.56,182.52,178.99,179.12,1192800,0.0,0
2020-05-20,181.31,182.09,178.06,178.42,1480500,0.0,0
2020-05-21,179.23,184.33,178.57,183.34,1550700,0.0,0
2020-05-22,184.11,184.11,179.08,179.68,1084700,0.0,0
2020-05-26,184.11,185.29,181.94,183.98,2811900,0.0,0
2020-05-27,187.2,192.22,185.24,192.13,2259800,0.0,0
2020-05-28,196.0,197.09,192.18,195.89,1579800,0.0,0
2020-05-29,194.17,199.05,192.61,198.6,1815500,0.0,0
2020-06-01,197.27,198.52,195.58,196.12,1459600,0.85,0
2020-06-02,196.19,196.62,192.95,194.57,1968100,0.0,0
2020-06-03,196.78,201.76,196.08,200.61,1773800,0.0,0
2020-06-04,200.0,202.39,198.59,199.48,1510300,0.0,0
2020-06-05,205.69,208.22,203.59,204.87,1744200,0.0,0
2020-06-08,206.74,209.77,205.16,209.66,1490100,0.0,0
2020-06-09,206.64,209.42,206.62,208.28,1489300,0.0,0
2020-06-10,208.57,209.21,204.72,206.7,1188200,0.0,0
2020-06-11,200.36,202.25,196.3,196.51,1791200,0.0,0
2020-06-12,201.11,201.65,190.01,193.15,1321500,0.0,0
