Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,369.04,370.22,359.83,361.99,1287400,0.0,0
2020-05-14,358.82,359.36,350.14,354.13,1776400,0.0,0
2020-05-15,350.41,359.33,350.2,358.23,1854500,0.0,0
2020-05-18,368.97,378.2,363.82,375.27,1879700,0.0,0
2020-05-19,375.79,380.16,369.0,369.24,1087100,0.0,0
2020-05-20,370.2,371.75,359.93,360.33,1880500,0.0,0
2020-05-21,360.51,367.8,360.42,366.6,1179100,0.0,0
2020-05-22,367.63,367.93,363.42,366.78,752600,0.0,0
2020-05-26,374.68,374.68,368.34,369.96,1596100,0.0,0
2020-05-27,374.51,394.73,374.31,394.73,1986900,0.0,0
2020-05-28,399.04,401.82,395.76,396.04,1487900,0.0,0
2020-05-29,396.04,396.24,384.77,388.44,1733800,2.4,0
2020-06-01,388.94,394.0,387.31,388.96,1090300,0.0,0
2020-06-02,388.64,393.23,386.99,389.77,1404700,0.0,0
2020-06-03,393.65,403.6,392.59,402.63,1382200,0.0,0
2020-06-04,401.78,404.87,399.0,403.67,1261700,0.0,0
2020-06-05,410.0,416.0,406.45,410.75,1702500,0.0,0
2020-06-08,415.0,417.62,411.75,414.3,1294600,0.0,0
2020-06-09,410.53,411.94,407.0,408.56,1188400,0.0,0
2020-06-10,406.5,409.1,403.45,403.77,1188200,0.0,0
2020-06-11,392.69,397.31,383.57,383.88,1698800,0.0,0
2020-06-12,393.33,394.43,376.47,381.87,1788100,0.0,0
