Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,45.95,46.25,45.39,45.86,1966100,0,0
2020-05-14,45.16,46.21,44.36,45.94,1510800,0,0
2020-05-15,45.72,46.06,44.74,45.95,3747400,0,0
2020-05-18,47.26,48.08,47.02,47.74,1170400,0,0
2020-05-19,47.35,47.65,46.31,46.32,1075100,0,0
2020-05-20,46.63,47.42,46.38,46.66,882000,0,0
2020-05-21,46.41,46.89,45.99,46.03,983700,0,0
2020-05-22,46.1,46.41,45.96,46.38,875000,0,0
2020-05-26,47.14,47.7,46.74,46.91,1071800,0,0
2020-05-27,47.74,47.89,46.76,47.33,1430900,0,0
2020-05-28,47.91,49.04,47.54,48.86,1276200,0,0
2020-05-29,48.48,49.72,48.4,49.36,1858800,0,0
2020-06-01,49.32,49.69,48.77,49.46,989300,0,0
2020-06-02,49.55,50.2,49.21,50.16,1553100,0,0
2020-06-03,50.62,51.43,50.27,51.04,1361900,0,0
2020-06-04,50.61,51.01,49.63,50.1,1666400,0,0
2020-06-05,50.65,51.69,50.35,50.64,1103100,0,0
2020-06-08,50.57,52.47,50.05,52.32,1378500,0,0
2020-06-09,51.75,52.26,50.42,50.77,1083900,0,0
2020-06-10,50.54,51.19,50.4,50.72,1113800,0,0
2020-06-11,49.97,50.38,48.23,48.69,1609600,0,0
2020-06-12,49.6,49.6,48.1,48.55,1614700,0,0
