Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,46.0,46.19,43.98,44.42,6694500,0,0
2020-05-14,43.08,46.05,42.43,45.68,8124300,0,0
2020-05-15,45.07,45.86,44.73,44.76,5007800,0,0
2020-05-18,48.11,48.66,47.29,48.39,7808900,0,0
2020-05-19,48.5,49.7,47.32,48.25,5936000,0,0
2020-05-20,49.7,50.36,48.79,50.17,6946200,0,0
2020-05-21,50.38,50.48,48.32,48.57,6378500,0,0
2020-05-22,47.66,48.0,46.5,46.9,6455700,0,0
2020-05-26,49.97,50.33,48.85,49.93,6800900,0,0
2020-05-27,51.91,52.2,49.25,50.93,6734900,0,0
2020-05-28,51.0,51.08,48.33,48.55,5374000,0,0
2020-05-29,47.68,48.68,46.78,47.94,7963900,0,0
2020-06-01,48.52,49.76,47.62,49.03,6797000,0,0
2020-06-02,49.11,49.26,47.3,47.79,9112100,0,0
2020-06-03,48.77,52.17,48.69,51.79,11830500,0,0
2020-06-04,53.86,53.92,49.06,52.35,18911800,0,0
2020-06-05,56.0,56.02,52.45,52.97,11569300,0,0
2020-06-08,54.75,55.73,53.63,55.64,7497600,0,0
2020-06-09,54.78,54.79,53.04,53.66,4806900,0,0
2020-06-10,53.01,53.63,51.68,51.77,5501000,0,0
2020-06-11,48.48,50.36,48.17,49.09,8932700,0,0
2020-06-12,51.35,51.36,48.6,49.87,5824300,0,0
