Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,38.0,38.56,36.47,37.45,4974400,0,0
2020-05-14,36.49,39.29,36.01,39.19,5668700,0,0
2020-05-15,38.9,40.08,38.59,40.06,3000700,0,0
2020-05-18,43.88,47.41,43.8,46.15,9009900,0,0
2020-05-19,46.12,47.4,44.77,44.87,3142100,0,0
2020-05-20,45.62,47.86,45.4,47.73,3922200,0,0
2020-05-21,47.41,48.43,44.69,45.53,3352000,0,0
2020-05-22,45.74,46.53,45.17,46.49,1860500,0,0
2020-05-26,50.15,51.13,49.06,49.69,5416300,0,0
2020-05-27,51.14,52.16,49.23,51.7,4472300,0,0
2020-05-28,52.22,52.36,48.47,49.01,4001800,0,0
2020-05-29,48.33,49.6,47.7,49.16,3663500,0,0
2020-06-01,48.89,51.03,48.58,50.66,2703200,0,0
2020-06-02,51.86,52.82,49.97,50.53,4273700,0,0
2020-06-03,51.38,56.12,51.38,53.91,5729200,0,0
2020-06-04,54.15,55.89,52.61,53.47,3834800,0,0
2020-06-05,55.5,58.34,55.24,56.96,6009700,0,0
2020-06-08,58.27,59.7,56.03,57.09,4609000,0,0
2020-06-09,55.81,55.89,53.33,53.42,3062500,0,0
2020-06-10,54.04,54.04,50.61,52.48,3367200,0,0
2020-06-11,48.11,49.17,47.0,47.74,5178900,0,0
2020-06-12,50.0,51.09,48.0,49.12,2713000,0,0
