Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,5.02,5.07,4.82,5.02,33463900,0,0
2020-05-14,4.85,5.1,4.65,5.01,34633500,0,0
2020-05-15,4.84,5.41,4.8,5.31,36657300,0,0
2020-05-18,5.55,5.7,5.25,5.42,35714800,0,0
2020-05-19,5.33,5.38,5.03,5.07,38773800,0,0
2020-05-20,5.19,5.2,5.02,5.07,29134600,0,0
2020-05-21,4.97,5.44,4.91,5.37,55176200,0,0
2020-05-22,5.32,5.46,5.13,5.21,35481000,0,0
2020-05-26,5.51,6.29,5.49,6.17,64928700,0,0
2020-05-27,6.73,7.48,6.66,7.38,98034300,0,0
2020-05-28,7.66,7.7,6.77,6.83,73751800,0,0
2020-05-29,6.51,6.75,6.26,6.36,52869100,0,0
2020-06-01,6.19,6.63,6.17,6.37,43453400,0,0
2020-06-02,6.42,7.04,6.3,6.96,63583400,0,0
2020-06-03,7.21,7.95,7.12,7.86,65946700,0,0
2020-06-04,7.75,8.49,7.45,8.21,78157800,0,0
2020-06-05,9.4,9.6,8.68,8.77,76114500,0,0
2020-06-08,9.36,9.57,9.1,9.55,70444000,0,0
2020-06-09,10.36,10.46,8.76,8.87,133196400,0,0
2020-06-10,8.54,8.59,7.8,7.94,74256600,0,0
2020-06-11,7.06,7.62,6.6,6.76,70748300,0,0
2020-06-12,7.39,7.47,7.0,7.3,47148400,0,0
