Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,107.94,109.95,107.13,108.09,829200,0,0
2020-05-14,106.06,106.72,102.89,105.52,1054700,0,0
2020-05-15,104.67,107.06,102.23,106.87,1782800,0,0
2020-05-18,111.69,115.57,111.69,114.36,914000,0,0
2020-05-19,113.65,114.86,110.82,111.12,636800,0,0
2020-05-20,112.05,112.64,109.96,111.49,734200,0,0
2020-05-21,111.47,114.46,111.47,113.82,735700,0,0
2020-05-22,114.08,114.71,112.63,114.28,430700,0,0
2020-05-26,118.08,119.2,116.0,116.8,586500,0,0
2020-05-27,119.62,119.85,114.04,116.88,843400,0,0
2020-05-28,118.19,118.19,114.7,117.66,602800,0,0
2020-05-29,116.37,118.51,114.98,116.36,863700,0,0
2020-06-01,116.47,118.82,115.5,117.57,472000,0,0
2020-06-02,118.15,119.45,117.0,117.76,643700,0,0
2020-06-03,118.93,122.99,118.93,122.39,700200,0,0
2020-06-04,121.73,121.78,118.56,118.77,755800,0,0
2020-06-05,122.26,126.13,122.26,124.44,860900,0,0
2020-06-08,125.97,127.74,124.17,126.53,801000,0,0
2020-06-09,123.85,124.77,122.13,124.66,684500,0,0
2020-06-10,123.29,124.04,121.35,121.84,593400,0,0
2020-06-11,117.22,118.72,115.22,115.46,850000,0,0
2020-06-12,119.66,120.43,114.82,119.08,1113800,0,0
