Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,79.06,79.32,74.57,75.26,4880600,0,0
2020-05-14,73.0,79.28,71.52,79.25,5425400,0,0
2020-05-15,78.47,79.91,77.36,79.76,6526900,0,0
2020-05-18,85.06,93.9,84.87,93.62,11012200,0,0
2020-05-19,92.27,94.84,89.16,90.67,7090300,0,0
2020-05-20,92.36,92.98,90.27,92.68,4265700,0,0
2020-05-21,91.97,93.11,90.27,91.35,3009000,0,0
2020-05-22,92.18,92.25,89.52,91.05,2259400,0,0
2020-05-26,97.89,97.93,94.55,94.92,6258400,0,0
2020-05-27,98.64,98.98,94.77,97.96,5392000,0,0
2020-05-28,97.61,97.92,91.53,91.64,5197500,0,0
2020-05-29,91.21,91.75,88.1,88.5,5874400,0,0
2020-06-01,89.73,95.64,89.3,95.03,5074500,0,0
2020-06-02,97.23,97.35,94.01,95.61,5470700,0,0
2020-06-03,97.3,100.56,96.21,99.9,6136300,0,0
2020-06-04,100.14,105.05,98.08,104.82,6777800,0,0
2020-06-05,114.38,118.41,106.77,107.96,10069800,0,0
2020-06-08,113.46,114.46,110.51,113.14,6056200,0,0
2020-06-09,109.8,110.5,106.31,107.32,4008700,0,0
2020-06-10,106.03,106.65,100.05,102.62,5642000,0,0
2020-06-11,95.05,96.5,90.61,91.44,7614100,0,0
2020-06-12,97.61,97.76,90.07,92.26,7105100,0,0
