Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,175.01,175.4,169.88,171.68,4729100,0.0,0
2020-05-14,169.07,174.5,166.74,174.25,4868400,0.0,0
2020-05-15,171.9,173.55,170.54,172.66,6879600,0.0,0
2020-05-18,178.87,179.95,176.93,178.64,4653000,0.0,0
2020-05-19,178.93,180.26,176.89,178.38,3365000,0.0,0
2020-05-20,180.79,183.38,179.37,182.88,4920800,0.0,0
2020-05-21,182.96,184.25,180.9,183.85,2913600,0.0,0
2020-05-22,183.26,184.12,181.97,183.19,2475200,0.0,0
2020-05-26,188.33,189.4,183.02,183.62,3990900,0.0,0
2020-05-27,187.49,187.5,184.04,186.48,3993400,0.0,0
2020-05-28,188.17,189.22,185.48,187.48,3567600,0.0,0
2020-05-29,187.43,188.7,185.71,186.32,5719100,1.25,0
2020-06-01,186.71,187.84,185.6,187.41,2168200,0.0,0
2020-06-02,188.4,188.56,186.09,187.59,3125500,0.0,0
2020-06-03,188.47,193.81,188.09,193.29,3881500,0.0,0
2020-06-04,192.32,194.26,191.62,193.24,3469100,0.0,0
2020-06-05,198.0,200.15,196.27,197.16,4728300,0.0,0
2020-06-08,195.68,202.73,195.64,202.65,4443900,0.0,0
2020-06-09,200.37,201.57,199.01,199.52,3728600,0.0,0
2020-06-10,199.13,199.56,195.67,195.8,3459900,0.0,0
2020-06-11,190.9,192.91,186.33,187.51,5796000,0.0,0
2020-06-12,191.67,191.67,185.45,189.17,4107900,0.0,0
