Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,86.75,86.99,82.22,83.6,2234400,0.0,0
2020-05-14,82.44,85.58,80.75,85.44,2341700,0.0,0
2020-05-15,82.28,83.64,81.79,83.2,2539600,0.0,0
2020-05-18,85.45,89.14,85.2,88.65,2272000,0.0,0
2020-05-19,88.09,90.14,87.72,87.77,2013200,0.0,0
2020-05-20,89.54,92.1,89.02,91.3,4066000,0.368,0
2020-05-21,90.47,91.48,87.47,87.63,2344300,0.0,0
2020-05-22,86.92,88.18,86.43,87.81,1815500,0.0,0
2020-05-26,91.46,95.17,91.0,93.85,5158300,0.0,0
2020-05-27,95.37,99.24,95.07,96.75,10372800,0.0,0
2020-05-28,96.54,98.72,95.01,95.43,6114600,0.0,0
2020-05-29,95.65,97.87,95.13,96.02,7180800,0.0,0
2020-06-01,94.98,96.64,94.05,95.74,2455500,0.0,0
2020-06-02,96.25,98.2,95.93,96.84,3507100,0.0,0
2020-06-03,103.05,109.79,102.8,108.79,8725500,0.0,0
2020-06-04,108.09,108.76,105.74,106.85,3897000,0.0,0
2020-06-05,109.16,113.28,109.16,110.0,3942600,0.0,0
2020-06-08,111.07,111.62,106.46,108.47,3454700,0.0,0
2020-06-09,106.96,108.49,105.29,105.73,4604300,0.0,0
2020-06-10,106.5,106.51,103.66,104.35,2902300,0.0,0
2020-06-11,101.5,101.97,97.17,97.45,3765300,0.0,0
2020-06-12,101.46,102.59,96.86,99.63,1937000,0.0,0
