Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,248.34,252.85,243.76,247.19,751800,0.0,0
2020-05-14,244.05,253.77,242.61,253.32,1117900,0.0,0
2020-05-15,257.58,260.82,248.68,250.77,2691200,0.0,0
2020-05-18,256.45,262.02,255.91,259.25,1125100,0.0,0
2020-05-19,259.28,261.29,253.54,253.92,958300,0.56,0
2020-05-20,257.99,259.82,255.47,256.27,740600,0.0,0
2020-05-21,255.64,256.44,252.02,253.77,1228500,0.0,0
2020-05-22,255.78,258.48,252.11,256.82,384500,0.0,0
2020-05-26,263.01,263.78,259.1,259.7,805800,0.0,0
2020-05-27,263.4,263.7,255.39,258.79,806100,0.0,0
2020-05-28,261.0,268.64,259.19,264.79,1249400,0.0,0
2020-05-29,265.95,268.13,262.11,267.41,1245800,0.0,0
2020-06-01,269.64,277.98,269.64,277.04,988600,0.0,0
2020-06-02,277.15,277.74,273.36,276.44,1034000,0.0,0
2020-06-03,279.59,283.49,276.93,282.58,764900,0.0,0
2020-06-04,280.0,282.1,273.66,276.03,780300,0.0,0
2020-06-05,281.47,283.64,277.76,279.69,990900,0.0,0
2020-06-08,276.18,281.87,273.34,281.81,1089800,0.0,0
2020-06-09,277.0,279.1,274.69,274.98,946400,0.0,0
2020-06-10,276.73,280.61,273.93,276.8,683700,0.0,0
2020-06-11,271.24,271.24,257.75,258.28,901100,0.0,0
2020-06-12,266.33,268.16,260.0,266.98,805800,0.0,0
