Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,50.55,50.6,49.22,49.56,4569600,0,0
2020-05-14,49.76,49.81,48.77,49.52,5148800,0,0
2020-05-15,49.5,50.29,49.26,49.96,6039000,0,0
2020-05-18,50.74,51.44,49.71,50.97,8511200,0,0
2020-05-19,51.0,51.29,49.85,49.89,5640000,0,0
2020-05-20,50.04,50.31,49.65,49.75,6851900,0,0
2020-05-21,49.61,49.91,49.11,49.28,5844400,0,0
2020-05-22,49.03,49.75,48.98,49.7,4240900,0,0
2020-05-26,50.16,50.48,49.38,49.59,7378200,0,0
2020-05-27,49.77,50.46,49.41,50.35,9120000,0,0
2020-05-28,50.83,51.52,50.26,51.41,6826800,0,0
2020-05-29,51.58,52.3,50.9,52.12,8353300,0,0
2020-06-01,52.03,52.64,51.83,52.25,4428400,0,0
2020-06-02,52.15,52.37,51.62,52.22,7972500,0,0
2020-06-03,52.51,52.55,51.95,52.09,4967000,0,0
2020-06-04,51.97,52.6,51.24,51.29,7552000,0,0
2020-06-05,51.59,52.63,51.3,52.53,15525900,0,0
2020-06-08,52.37,53.65,52.17,53.61,9139100,0,0
2020-06-09,53.52,53.55,52.65,52.95,5131300,0,0
2020-06-10,52.98,53.54,52.69,53.11,6183100,0,0
2020-06-11,52.61,52.76,50.49,50.53,8679600,0,0
2020-06-12,51.5,51.63,50.25,50.73,6011100,0,0
