Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,95.0,95.43,92.98,93.28,7111000,0,0
2020-05-14,92.2,93.88,89.65,93.82,6355800,0,0
2020-05-15,92.98,94.23,92.0,93.89,8591500,0,0
2020-05-18,96.82,100.15,96.55,98.9,7047500,0,0
2020-05-19,99.0,99.88,96.95,97.03,4801700,0,0
2020-05-20,97.89,99.19,96.95,98.08,4270900,0,0
2020-05-21,95.1,97.3,94.07,95.41,7021400,0,0
2020-05-22,95.52,95.88,92.79,94.72,6518300,0,0
2020-05-26,97.58,98.09,94.82,97.15,7086300,0,0
2020-05-27,97.43,98.14,94.91,96.0,6163700,0,0
2020-05-28,97.52,99.73,97.2,98.14,5444200,0,0
2020-05-29,99.1,99.1,96.22,98.58,8961700,0,0
2020-06-01,97.73,98.5,96.91,97.11,4860000,0,0
2020-06-02,97.2,97.67,96.47,97.25,8363300,0,0
2020-06-03,97.51,98.04,96.97,97.1,7508900,0,0
2020-06-04,96.75,97.67,96.42,96.99,8785200,0,0
2020-06-05,98.75,103.08,98.07,102.04,10060400,0,0
2020-06-08,101.72,103.23,100.86,101.33,6929600,0,0
2020-06-09,102.01,103.06,99.0,99.11,5622500,0,0
2020-06-10,99.21,99.67,97.15,97.55,6098300,0,0
2020-06-11,95.85,95.92,90.79,90.87,8829600,0,0
2020-06-12,93.85,95.3,91.75,93.21,7333400,0,0
