Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,32.0,32.14,30.59,30.77,7859000,0,0
2020-05-14,30.06,31.86,29.18,31.83,5742600,0,0
2020-05-15,31.41,32.12,31.18,31.72,5460600,0,0
2020-05-18,33.3,33.7,32.75,33.42,7288300,0,0
2020-05-19,33.21,33.37,32.34,32.39,5149700,0,0
2020-05-20,33.0,33.71,32.91,33.16,5131200,0,0
2020-05-21,33.0,33.69,32.95,33.49,4056200,0,0
2020-05-22,33.54,33.6,32.72,33.34,3395300,0,0
2020-05-26,35.0,36.77,34.86,36.1,10389500,0,0
2020-05-27,38.0,38.45,36.63,36.93,7665500,0,0
2020-05-28,37.51,37.58,36.33,36.46,7253600,0,0
2020-05-29,35.82,36.37,35.35,36.01,9444900,0,0
2020-06-01,35.82,36.55,35.54,36.37,5134500,0,0
2020-06-02,36.79,36.94,36.07,36.39,6710100,0,0
2020-06-03,37.39,38.41,37.25,37.88,6419700,0,0
2020-06-04,37.53,39.36,37.15,39.34,5822400,0,0
2020-06-05,42.42,42.68,40.52,40.74,7917600,0,0
2020-06-08,41.67,43.02,41.61,43.0,7587700,0,0
2020-06-09,41.56,41.99,40.95,41.55,7867400,0,0
2020-06-10,41.25,41.31,39.48,39.5,7295000,0,0
2020-06-11,36.84,37.92,35.74,35.93,9548300,0,0
2020-06-12,37.55,37.8,36.34,37.45,7142100,0,0
