Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,76.73,77.61,72.79,73.94,874100,0,0
2020-05-14,72.29,76.56,69.87,75.96,754500,0,0
2020-05-15,74.94,77.59,74.36,76.58,563400,0,0
2020-05-18,81.24,86.87,80.41,85.97,803900,0,0
2020-05-19,85.13,86.55,82.37,82.44,662500,0,0
2020-05-20,83.77,85.48,81.3,83.03,483100,0,0
2020-05-21,81.44,85.58,81.44,84.14,500200,0,0
2020-05-22,84.63,85.17,81.62,83.31,361700,0,0
2020-05-26,87.97,94.33,87.3,93.47,1077600,0,0
2020-05-27,98.56,99.79,95.43,99.43,816300,0,0
2020-05-28,99.4,99.99,92.72,93.16,833500,0,0
2020-05-29,92.15,93.74,90.02,93.2,1488100,0,0
2020-06-01,93.14,94.56,92.1,93.09,563300,0,0
2020-06-02,94.01,97.34,94.01,97.0,592500,0,0
2020-06-03,98.44,104.67,98.37,104.46,848800,0,0
2020-06-04,103.75,108.65,102.12,108.0,1177500,0,0
2020-06-05,115.79,116.96,107.53,108.65,1137800,0,0
2020-06-08,113.32,116.48,112.3,115.69,802500,0,0
2020-06-09,111.67,113.6,109.24,112.72,711400,0,0
2020-06-10,111.14,112.95,105.94,106.05,871900,0,0
2020-06-11,97.49,100.93,94.75,95.97,1004600,0,0
2020-06-12,98.67,100.98,94.35,97.74,687900,0,0
