Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,168.62,170.64,167.06,168.52,952000,0,0
2020-05-14,173.28,176.59,171.42,175.52,1178300,0,0
2020-05-15,174.72,180.18,174.14,177.98,1856100,0,0
2020-05-18,179.67,180.38,176.19,176.33,912600,0,0
2020-05-19,175.63,177.07,172.42,172.52,705700,0,0
2020-05-20,174.07,174.2,171.69,173.59,882400,0,0
2020-05-21,174.03,174.03,169.23,170.56,749200,0,0
2020-05-22,170.37,172.08,170.15,171.87,368600,0,0
2020-05-26,173.21,174.99,170.5,171.03,608700,0,0
2020-05-27,170.79,172.24,169.87,172.0,570800,0,0
2020-05-28,173.69,174.12,171.39,172.51,616700,0,0
2020-05-29,172.4,176.23,171.4,175.16,1431300,0,0
2020-06-01,176.0,177.92,175.04,176.57,544000,0,0
2020-06-02,176.34,177.29,174.51,175.42,704200,0,0
2020-06-03,175.31,175.99,173.53,174.3,554300,0,0
2020-06-04,173.84,174.27,169.76,170.77,574400,0,0
2020-06-05,170.77,171.37,167.87,170.83,899400,0,0
2020-06-08,169.3,173.59,169.02,172.77,685600,0,0
2020-06-09,172.93,172.93,170.34,171.1,477100,0,0
2020-06-10,172.33,174.38,171.15,172.41,674000,0,0
2020-06-11,172.0,173.02,167.19,167.84,576300,0,0
2020-06-12,169.86,169.86,165.68,166.54,522600,0,0
