Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,167.54,168.6,159.33,160.18,743400,0.0,0
2020-05-14,157.45,170.08,151.52,168.54,758000,0.0,0
2020-05-15,167.49,173.04,166.07,167.6,498900,0.0,0
2020-05-18,173.76,182.28,173.76,180.37,667900,0.0,0
2020-05-19,180.15,180.54,174.03,174.36,480100,0.0,0
2020-05-20,175.91,180.84,175.91,178.6,468800,0.0,0
2020-05-21,177.76,182.92,176.06,178.13,468300,0.0,0
2020-05-22,181.69,182.45,176.83,179.19,434900,0.0,0
2020-05-26,185.38,189.22,183.33,188.46,663200,0.0,0
2020-05-27,193.8,202.69,193.1,201.81,1223000,0.0,0
2020-05-28,206.23,206.28,196.34,196.9,697300,0.0,0
2020-05-29,194.92,195.84,191.08,192.09,702800,0.55,0
2020-06-01,191.23,197.45,191.23,195.96,743800,0.0,0
2020-06-02,197.74,205.2,196.02,204.78,796600,0.0,0
2020-06-03,208.43,212.6,208.43,209.92,676200,0.0,0
2020-06-04,207.87,212.26,207.23,211.5,498000,0.0,0
2020-06-05,223.22,229.02,221.36,225.43,1350000,0.0,0
2020-06-08,228.14,230.46,219.78,222.15,549000,0.0,0
2020-06-09,217.72,219.46,208.39,208.85,800300,0.0,0
2020-06-10,207.24,208.74,203.5,204.59,508100,0.0,0
2020-06-11,196.4,199.8,188.24,188.89,798800,0.0,0
2020-06-12,197.05,199.6,192.48,197.05,599800,0.0,0
