Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,139.33,139.35,133.67,134.78,4806000,0.0,0
2020-05-14,133.67,134.81,129.83,134.65,5897700,0.0,0
2020-05-15,133.21,137.51,132.88,137.33,10113700,0.0,0
2020-05-18,141.75,148.25,141.11,147.8,6018500,0.0,0
2020-05-19,147.04,150.16,145.92,146.92,4059900,0.0,0
2020-05-20,148.4,149.94,147.37,148.21,3428800,0.0,0
2020-05-21,147.74,148.64,145.34,145.81,2789100,1.47,0
2020-05-22,145.74,146.64,144.6,146.44,2661400,0.0,0
2020-05-26,150.43,152.98,149.2,152.08,4616300,0.0,0
2020-05-27,153.99,158.16,153.34,158.15,6056300,0.0,0
2020-05-28,158.71,159.87,154.13,156.82,6730700,0.0,0
2020-05-29,155.5,156.87,153.05,156.44,8632700,0.0,0
2020-06-01,155.95,157.55,154.89,155.58,2083400,0.0,0
2020-06-02,156.75,158.6,156.63,157.64,2333800,0.0,0
2020-06-03,159.35,161.66,158.52,161.21,3674300,0.0,0
2020-06-04,159.76,162.58,159.18,162.55,2880700,0.0,0
2020-06-05,165.0,168.35,165.0,167.41,4527200,0.0,0
2020-06-08,167.1,169.54,165.27,166.87,2987600,0.0,0
2020-06-09,165.48,167.96,164.08,166.7,3161600,0.0,0
2020-06-10,166.9,167.34,163.81,163.9,2551300,0.0,0
2020-06-11,160.06,160.25,152.31,152.38,5016600,0.0,0
2020-06-12,156.28,157.42,151.73,154.87,2998800,0.0,0
