Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.16,32.01,29.78,30.53,8503600,0.0,0
2020-05-14,29.53,31.12,28.34,30.38,7941400,0.0,0
2020-05-15,30.14,30.74,29.38,29.8,9469100,0.0,0
2020-05-18,31.82,34.72,31.45,34.37,13237600,0.0,0
2020-05-19,34.6,35.38,33.08,34.5,13057200,0.58,0
2020-05-20,35.35,37.28,35.15,36.82,18678500,0.0,0
2020-05-21,36.81,37.42,35.36,35.69,11427200,0.0,0
2020-05-22,35.58,35.84,34.44,35.57,5682700,0.0,0
2020-05-26,37.09,37.48,36.61,36.83,10481800,0.0,0
2020-05-27,37.73,37.94,35.56,36.58,10878100,0.0,0
2020-05-28,36.7,36.7,34.96,35.18,6998100,0.0,0
2020-05-29,34.78,35.43,34.11,35.14,11450400,0.0,0
2020-06-01,35.25,36.83,34.35,36.5,7414300,0.0,0
2020-06-02,37.0,37.94,36.48,37.72,7533100,0.0,0
2020-06-03,38.5,39.22,38.17,38.59,9151200,0.0,0
2020-06-04,38.2,38.86,37.53,38.04,9239300,0.0,0
2020-06-05,40.95,42.01,40.47,41.56,10867700,0.0,0
2020-06-08,43.5,44.12,41.53,42.21,14498100,0.0,0
2020-06-09,40.31,40.94,39.36,40.41,8264500,0.0,0
2020-06-10,39.81,40.8,39.13,39.19,7984800,0.0,0
2020-06-11,35.9,37.88,35.17,35.33,10531700,0.0,0
2020-06-12,37.63,37.9,35.33,36.62,7687600,0.0,0
