Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,76.06,78.18,75.98,77.28,10434300,0.0,0
2020-05-14,76.67,79.5,76.65,79.42,10885100,0.0,0
2020-05-15,79.48,79.91,78.21,79.15,8938200,0.0,0
2020-05-18,80.36,80.36,78.61,79.09,11977700,0.0,0
2020-05-19,78.84,79.1,76.74,76.94,10106700,0.0,0
2020-05-20,77.41,77.62,76.08,76.28,10522600,0.0,0
2020-05-21,76.15,76.42,75.67,75.95,8588100,0.0,0
2020-05-22,75.57,76.06,75.47,75.77,6066300,0.0,0
2020-05-26,77.64,77.98,76.3,76.65,18269100,0.0,0
2020-05-27,76.39,77.03,75.4,76.94,12241400,0.0,0
2020-05-28,77.98,79.66,77.89,78.42,12577200,0.0,0
2020-05-29,78.83,80.3,77.69,80.08,12900700,0.0,0
2020-06-01,79.55,79.83,78.51,78.93,5982100,0.0,0
2020-06-02,78.91,80.22,78.21,80.2,10833000,0.0,0
2020-06-03,80.36,81.7,80.22,81.41,13049100,0.0,0
2020-06-04,80.63,81.51,80.2,80.91,8867300,0.0,0
2020-06-05,81.46,82.47,80.85,81.61,9936400,0.0,0
2020-06-08,80.51,82.54,80.51,82.25,9500800,0.0,0
2020-06-09,82.53,82.85,81.47,81.61,8441000,0.0,0
2020-06-10,81.79,82.13,80.35,81.13,8665000,0.0,0
2020-06-11,80.17,81.02,76.74,76.74,13648700,0.0,0
2020-06-12,77.89,77.93,75.47,76.3,16218200,0.61,0
