Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,38.15,38.28,36.6,36.99,11565900,0,0
2020-05-14,36.26,37.97,35.53,37.81,14986600,0,0
2020-05-15,37.26,37.81,37.02,37.29,9175800,0,0
2020-05-18,38.92,40.65,38.68,40.28,14727100,0,0
2020-05-19,40.1,40.55,39.29,39.33,8895500,0,0
2020-05-20,40.07,41.25,40.04,41.06,12031600,0,0
2020-05-21,40.77,40.93,39.84,40.3,9654200,0,0
2020-05-22,40.23,40.54,39.8,40.13,6468900,0,0
2020-05-26,41.87,43.79,41.55,43.69,19709900,0,0
2020-05-27,45.78,46.92,45.31,46.86,25892400,0,0
2020-05-28,47.25,47.32,44.28,44.4,17615900,0,0
2020-05-29,44.01,44.79,43.52,44.2,13102100,0,0
2020-06-01,44.52,45.07,43.95,44.7,8649500,0,0
2020-06-02,45.18,46.26,44.88,45.58,11179200,0,0
2020-06-03,46.98,47.49,46.44,46.91,11253500,0,0
2020-06-04,46.71,48.75,46.69,48.69,15279600,0,0
2020-06-05,51.3,51.85,49.24,49.53,17976100,0,0
2020-06-08,50.52,50.68,49.38,50.15,12150300,0,0
2020-06-09,48.72,50.69,48.57,50.4,15090400,0,0
2020-06-10,50.03,50.5,48.61,48.69,14770900,0,0
2020-06-11,46.13,47.2,44.44,44.57,17961900,0,0
2020-06-12,46.76,46.95,45.12,46.28,14090000,0,0
